registration_date,site_id,locale_code,device_class_code,num_registrations
2020-06-10,109,nl_NL,desktop,2
2020-06-13,1701,es_ES,smartphone,2
2020-06-10,109,nl_NL,smartphone,5
2020-06-10,109,UNKNOWN_LOCALE,desktop,12
2020-06-13,1801,es_ES,desktop,2
2020-06-10,109,UNKNOWN_LOCALE,smartphone,6
2020-06-10,109,UNKNOWN_LOCALE,tablet,2
2020-06-10,111,fr_FR,unknown,58
2020-06-10,112,en_GB,desktop,159
2020-06-10,112,en_GB,smartphone,197
2020-06-10,112,en_GB,tablet,6
2020-06-16,2001,en_GB,desktop,6
2020-06-13,2002,en_GB,desktop,3
2020-06-14,103,pl_PL,desktop,35
2020-06-14,103,pl_PL,smartphone,28
2020-06-14,106,de_DE,desktop,10
2020-06-14,106,de_DE,smartphone,8
2020-06-14,106,de_DE,tablet,2
2020-06-14,106,es_ES,desktop,3
2020-06-14,106,es_ES,smartphone,13
2020-06-14,106,fr_BE,desktop,1
2020-06-14,106,fr_BE,smartphone,1
2020-06-14,106,it_IT,desktop,8
2020-06-14,106,it_IT,smartphone,48
2020-06-14,106,it_IT,tablet,3
2020-06-14,106,nl_BE,smartphone,1
2020-06-14,106,nl_NL,desktop,1
2020-06-14,106,nl_NL,smartphone,1
2020-06-14,109,de_CH,desktop,3
2020-06-14,109,de_CH,smartphone,2
2020-06-14,109,de_DE,desktop,15
2020-06-14,109,de_DE,smartphone,10
2020-06-14,109,de_DE,tablet,2
2020-06-14,109,es_ES,desktop,8
2020-06-16,303,it_IT,smartphone,4
2020-06-18,120,en_GB,desktop,1
2020-06-17,117,en_GB,tablet,13
2020-06-17,121,fr_FR,smartphone,28
2020-06-17,112,en_GB,smartphone,134
2020-06-17,117,en_GB,smartphone,93
2020-06-17,301,en_GB,desktop,15
2020-06-17,302,en_GB,smartphone,114
2020-06-17,118,pl_PL,desktop,2
2020-06-21,106,fr_BE,smartphone,1
2020-06-21,106,it_IT,smartphone,2
2020-06-21,109,fr_BE,desktop,1
2020-06-21,109,fr_CH,desktop,1
2020-06-17,303,es_ES,desktop,5
2020-06-21,109,it_IT,tablet,1
2020-06-19,109,es_ES,smartphone,12
2020-06-19,106,fr_BE,smartphone,2
2020-06-19,112,en_GB,desktop,78
2020-06-19,109,fr_FR,desktop,19
2020-06-19,114,de_DE,desktop,7
2020-06-14,109,es_ES,smartphone,24
2020-06-14,109,fr_BE,desktop,2
2020-06-14,109,fr_BE,tablet,1
2020-06-14,109,fr_CH,desktop,3
2020-06-14,109,fr_CH,smartphone,1
2020-06-14,109,fr_FR,desktop,15
2020-06-14,109,fr_FR,smartphone,22
2020-06-14,109,it_IT,desktop,20
2020-06-14,109,it_IT,smartphone,54
2020-06-14,109,it_IT,tablet,3
2020-06-14,109,nl_BE,desktop,2
2020-06-14,109,nl_BE,smartphone,3
2020-06-14,109,nl_NL,desktop,5
2020-06-14,109,nl_NL,smartphone,9
2020-06-14,109,UNKNOWN_LOCALE,desktop,4
2020-06-14,109,UNKNOWN_LOCALE,smartphone,9
2020-06-14,111,fr_FR,unknown,22
2020-06-14,112,en_GB,desktop,116
2020-06-14,112,en_GB,smartphone,167
2020-06-14,112,en_GB,tablet,16
2020-06-14,113,fr_FR,desktop,3
2020-06-14,113,fr_FR,smartphone,7
2020-06-14,113,fr_FR,tablet,3
2020-06-14,114,de_DE,desktop,4
2020-06-14,114,de_DE,smartphone,6
2020-06-14,114,en_US,desktop,1
2020-06-14,114,es_ES,desktop,5
2020-06-14,114,es_ES,smartphone,13
2020-06-14,114,it_IT,desktop,5
2020-06-14,114,it_IT,smartphone,7
2020-06-14,115,fr_BE,desktop,1
2020-06-14,116,fr_FR,desktop,33
2020-06-14,116,fr_FR,smartphone,39
2020-06-14,116,fr_FR,tablet,3
2020-06-14,117,en_GB,desktop,97
2020-06-14,117,en_GB,smartphone,138
