submit_date,product_one_id,product_two_id,order_channel,nsite_id,registered,first_time_buyer,device_class_code,locale_code,frequency_count,std_cobuy_revenue
2025-03-18 00:00:00.000,81128,138046,Storefront,Sites-lancome-it-Site,true,true,smartphone,it_IT,1,52.220000
2025-03-06 00:00:00.000,404979,751987,Storefront,Sites-kiehls-emea-east-ng-Site,true,false,smartphone,hu_HU,1,0.000000
2025-03-06 00:00:00.000,404979,755087,Storefront,Sites-kiehls-emea-east-ng-Site,false,false,desktop,cs_CZ,1,0.000000
2025-03-07 00:00:00.000,749819,765408,Storefront,Sites-lancome-emea-west-ng-Site,true,true,smartphone,en_GB,1,108.980000
2025-03-06 00:00:00.000,404979,755087,Storefront,Sites-kiehls-emea-east-ng-Site,true,false,smartphone,hu_HU,1,0.000000
2025-03-07 00:00:00.000,749819,774819,Storefront,Sites-lancome-emea-west-ng-Site,true,false,smartphone,en_GB,1,33.790000
2025-03-06 00:00:00.000,404979,774564,Storefront,Sites-kie-emea-west-Site,true,true,smartphone,nl_NL,1,47.930000
2025-03-06 00:00:00.000,405015,773924,Storefront,Sites-gac-emea-west-Site,false,true,smartphone,de_DE,1,73.950000
2025-03-06 00:00:00.000,405015,774450,Storefront,Sites-gac-emea-west-Site,true,true,smartphone,fr_FR,5,306.250000
2025-03-18 00:00:00.000,81128,333943,Storefront,Sites-lancome-emea-west-ng-Site,false,true,smartphone,en_GB,1,22.300000
2025-03-06 00:00:00.000,419201,600761,Storefront,Sites-lancome-emea-east-ng-Site,true,true,smartphone,pl_PL,3,163.890000
2025-03-06 00:00:00.000,419201,600762,Storefront,Sites-lancome-emea-east-ng-Site,true,true,smartphone,pl_PL,3,163.890000
2025-03-18 00:00:00.000,81128,361652,Storefront,Sites-lancome-emea-west-ng-Site,true,true,smartphone,en_GB,1,22.300000
2025-03-06 00:00:00.000,419201,627858,Storefront,Sites-lancome-emea-east-ng-Site,true,true,smartphone,pl_PL,3,273.150000
2025-03-05 00:00:00.000,13859,312629,Storefront,Sites-kiehls-emea-east-ng-Site,false,true,smartphone,ro_RO,1,0.000000
2025-03-05 00:00:00.000,13859,312629,Storefront,Sites-kiehls-emea-east-ng-Site,true,true,desktop,pl_PL,3,0.000000
2025-03-18 00:00:00.000,81128,729924,Storefront,Sites-lancome-emea-west-ng-Site,true,true,smartphone,en_GB,1,22.300000
2025-03-06 00:00:00.000,419201,642607,Storefront,Sites-lancome-emea-east-ng-Site,true,true,smartphone,pl_PL,3,163.890000
2025-03-06 00:00:00.000,419201,642697,Storefront,Sites-lancome-emea-east-ng-Site,true,true,smartphone,pl_PL,3,163.890000
2025-03-06 00:00:00.000,419201,684296,Storefront,Sites-lancome-emea-east-ng-Site,true,true,smartphone,pl_PL,3,163.890000
2025-03-10 00:00:00.000,9257,701291,Storefront,Sites-ysl-emea-west-ng-Site,true,false,smartphone,en_GB,1,49.640000
