visit_date,site_id,registered,device_class_code,referrer_medium,referrer_source,num_visits,locale_code
2019-07-03,901,false,smartphone,search,Google,592,UNKNOWN_LOCALE
2019-07-03,1302,false,smartphone,direct,unknown,592,UNKNOWN_LOCALE
2019-07-03,115,false,smartphone,direct,unknown,583,UNKNOWN_LOCALE
2019-07-03,114,false,smartphone,internal,unknown,577,UNKNOWN_LOCALE
2019-07-03,304,false,smartphone,direct,unknown,576,UNKNOWN_LOCALE
2019-07-03,112,false,desktop,direct,unknown,565,UNKNOWN_LOCALE
2019-07-03,902,true,smartphone,internal,unknown,562,UNKNOWN_LOCALE
2019-07-03,302,false,desktop,search,Google,557,UNKNOWN_LOCALE
2019-07-03,901,false,smartphone,search,Google,553,UNKNOWN_LOCALE
2019-07-03,122,false,smartphone,direct,unknown,539,UNKNOWN_LOCALE
2019-07-03,109,true,desktop,direct,unknown,534,UNKNOWN_LOCALE
2019-07-03,903,false,smartphone,search,Google,513,UNKNOWN_LOCALE
2019-07-03,308,false,smartphone,search,Google,506,UNKNOWN_LOCALE
2019-07-03,114,false,smartphone,social,Facebook,504,UNKNOWN_LOCALE
2019-07-03,308,false,desktop,search,Google,504,UNKNOWN_LOCALE
2019-07-03,114,false,smartphone,paid,Doubleclick,498,UNKNOWN_LOCALE
2019-07-03,114,false,desktop,internal,unknown,492,UNKNOWN_LOCALE
2019-07-03,304,false,smartphone,search,Google,486,UNKNOWN_LOCALE
2019-07-03,305,false,smartphone,direct,unknown,474,UNKNOWN_LOCALE
2019-07-03,117,false,smartphone,internal,unknown,473,UNKNOWN_LOCALE
2019-07-03,302,false,desktop,direct,unknown,466,UNKNOWN_LOCALE
2019-07-03,117,false,smartphone,search,Google,461,UNKNOWN_LOCALE
2019-07-03,116,false,smartphone,search,Google,459,UNKNOWN_LOCALE
2019-07-03,305,false,smartphone,search,Google,456,UNKNOWN_LOCALE
2019-07-03,304,false,smartphone,search,Google,455,UNKNOWN_LOCALE
2019-07-03,122,false,desktop,direct,unknown,450,UNKNOWN_LOCALE
2019-07-03,309,false,desktop,search,Google,446,UNKNOWN_LOCALE
2019-07-03,113,false,smartphone,search,Google,444,UNKNOWN_LOCALE
2019-07-03,113,false,desktop,search,Google,444,UNKNOWN_LOCALE
2019-07-03,103,false,smartphone,search,Google,433,UNKNOWN_LOCALE
2019-07-03,106,false,desktop,search,Google,421,UNKNOWN_LOCALE
2019-07-03,303,false,smartphone,unknown,unknown,415,UNKNOWN_LOCALE
2019-07-03,303,false,smartphone,social,Facebook,413,UNKNOWN_LOCALE
2019-07-03,1303,false,smartphone,social,Facebook,409,UNKNOWN_LOCALE
2019-07-03,109,false,smartphone,internal,unknown,409,UNKNOWN_LOCALE
2019-07-03,109,false,smartphone,search,Google,407,UNKNOWN_LOCALE
2019-07-03,303,false,desktop,unknown,unknown,404,UNKNOWN_LOCALE
2019-07-03,904,true,smartphone,internal,unknown,401,UNKNOWN_LOCALE
2019-07-03,114,false,smartphone,search,Google,400,UNKNOWN_LOCALE
2019-07-03,114,false,smartphone,search,Google,396,UNKNOWN_LOCALE
2019-07-03,1302,false,smartphone,social,Instagram,395,UNKNOWN_LOCALE
2019-07-03,903,false,desktop,search,Google,386,UNKNOWN_LOCALE
2019-07-03,1302,false,smartphone,social,Facebook,380,UNKNOWN_LOCALE
2019-07-03,903,false,smartphone,internal,unknown,380,UNKNOWN_LOCALE
2019-07-03,309,false,smartphone,internal,unknown,373,UNKNOWN_LOCALE
2019-07-03,120,false,smartphone,search,Google,368,UNKNOWN_LOCALE
2019-07-03,301,false,smartphone,direct,unknown,363,UNKNOWN_LOCALE
2019-07-03,111,false,smartphone,Email,Email,356,UNKNOWN_LOCALE
2019-07-03,902,true,desktop,direct,unknown,349,UNKNOWN_LOCALE
2019-07-03,304,false,desktop,search,Google,347,UNKNOWN_LOCALE
2019-07-03,113,false,smartphone,Email,Email,347,UNKNOWN_LOCALE
2019-07-03,309,false,smartphone,social,Facebook,346,UNKNOWN_LOCALE
2019-07-03,109,false,smartphone,internal,unknown,345,UNKNOWN_LOCALE
2019-07-03,115,false,desktop,search,Google,342,UNKNOWN_LOCALE
