campaign_id,ncampaign_id,description,valid_from,valid_to,is_continuous
27640001,BIO_ES_1-2_15-2_DLX-men,XXX,,,false
36090001,IT-LAC-Daylightsavingstime-2021,XXX,,,false
36100001,BIO_FR_2021_VENTEPRIVEE_AVANTPREMIERE,XXX,,,false
21240001,pl-20-xmas-sets,20% discount xmass sets,2020-12-17 23:00:00.000,2020-12-31 23:00:00.000,true
11780001,UDC_FR_20201109-20201130_OUTLET_DISCOUNT60%,XXX,,,false
11780002,KIE_UK_11-20_DIS_SINGLES-DAY-20-OFF,XXX,,,false
11790001,pl-3-for-2-acne,XXX,,,false
11800001,UDC-IT-SINGLES-DAY-2020,XXX,,,false
11840001,UDC_FR_20201109_20201115_STONEDVIBES_BOGOF_GWP,XXX,,,false
11850001,CZ_livechat_Lucia,XXX,,,false
11870001,LOY-DE-Catalog Tier 2 (300 pts) - 2,XXX,,,false
11880001,CZ_livechat_Alex,XXX,,,false
37350001,IT-LAC-EASTER-PROMO-2021,XXX,,,false
25310001,ro-friends-extra,,2021-01-21 23:00:00.000,2021-01-24 23:00:00.000,true
1512847,GWP_HIGHLIGHTS_20180627,customers will get 1 free samples (H.A. Intensifier) if they order a product,2018-07-01 22:00:00.000,2018-08-01 22:00:00.000,true
1512695,DE-SPRING-SPECIAL-2019,,2019-04-22 22:00:00.000,2019-04-30 22:00:00.000,true
27660001,INFLUENCER-VALENTINES,XXX,,,false
37360001,GWP_2STEP_REGIMEN_HAI_DE_20210404,XXX,,,false
1511946,trousse_mon-blog-0616,,2000-01-01 00:00:00.000,2050-01-01 00:00:00.000,true
11920001,__UNDEFINED__,XXX,,,false
37370001,Discount20_FR_April_20210401,XXX,,,false
37380001,GWP_VitaminC_SIL_ES_20210402,XXX,,,false
37390001,IT-KIE-APR-2021-SIBLING-DAY,XXX,,,false
37410001,NYX PMU -5% SOCIAL SELLING MISAMORALES,XXX,,,false
1512643,DE-KIE-GWP-CANNABIS-MAI2020,,2020-05-17 22:00:00.000,2020-05-31 22:00:00.000,true
37420001,UDC_ES_5-4_11-4_45%Obsoletos,XXX,,,false
37430001,pl-happy,XXX,,,false
1514935,DISC_£20OFF_28102019,,2019-10-28 00:00:00.000,2019-11-04 00:00:00.000,true
50021,KIE_FR_20200527_20200608_FETEDESMERES_MAI_2020,XXX,,,false
50022,LAC-FR-OFFRE-PINKSNAP-25,XXX,,,false
50023,LOYALTY_10_OFF_60_SPEND,XXX,,,false
50024,AOX - LRP - 07/2020 - SOLDES - OFFRE SOLAIRE,XXX,,,false
50025,15OFF_UNIQUE_20180711,XXX,,,false
8330017,IT-KIE-OCT-2020-POUCH,,2020-10-18 22:00:00.000,2020-10-31 23:00:00.000,true
8340001,PL_ThankYou_KiehlsLoves,XXX,,,false
11770001,UDC_FR_20201109_20201115_DOUBLEDATE_BOGOF_GWP,XXX,,,false
11810001,KIE_ES_9-11_11-11_VEEPEE,XXX,,,false
11860001,YSL_UK_09110912_20OFF30OFFWYS100,XXX,,,false
11900001,__UNDEFINED__,XXX,,,false
11930001,YSL-FR-OFFRE-SINGLES-DAY,XXX,,,false
11930002,LAC-FR-OFFRE-ECENTIME-40-1,XXX,,,false
10520060,AOX - LRP - 11/2020 - OFFRE BLACK FRIDAY FIRST GRATITUDE,6 produits OFFERTS dès 60euros d'achat avec le code FIRSTGRATITUDE,2020-11-16 07:00:00.000,2020-11-22 23:00:00.000,true
19130001,DE-KIE-ADVENTSKALENDER-2020-HOLIDAY8,XXX,,,false
21780001,DE-LAC-ADVENTSKALENDER-PROMO22,XXX,,,false
9570052,IT-BIO-2020-OCT-VISO10,,2020-10-22 22:00:00.000,2020-10-31 23:00:00.000,true
19180002,DE-LAC-ADVENTSKALENDER-PROMO8,XXX,,,false
21830001,DE-BIO-ADVENTSKALENDER-2020-PROMO22,XXX,,,false
21830002,KIE_FR_2020-03-02_2020-03-29_GWP_TRIO,XXX,,,false
21830003,KIE_FR_2020-03-02_CONTINUOUSLY_GWP_PLAISIR,XXX,,,false
2190009,TEST-popin,,2029-12-31 23:00:00.000,2050-01-01 00:00:00.000,true
2920044,SOOTHE_20180614,,2018-06-17 23:00:00.000,2018-06-27 23:00:00.000,true
21830004,KIE_FR_2020-03-13_2020-03-15_FRIENDSFAMILY_MARS_DISCOUNT20%,XXX,,,false
21830005,FREESHIP_PARIS_20170711,XXX,,,false
28790001,LAC_ES_DNR_favoritos-2,XXX,,,false
27650001,ES-ESTUDIANTE-UNIDAYS,XXX,,,false
