business_channel_id,registered,site_id,first_time_buyer,device_class_code,locale_code,std_revenue,num_orders,num_units,std_tax,std_shipping,std_total_discount,submit_date,std_promotional_order_discount,std_promotional_shipping_discount,std_promotional_product_discount,std_manual_order_discount,std_manual_shipping_discount,std_manual_product_discount
7,true,304,true,desktop,UNKNOWN_LOCALE,550.095423,7,19.000000,88.840320,33.895419,119.632974,2017-01-27,40.594586,33.895419,45.142969,0.000000,0.000000,0.000000
7,true,304,true,smartphone,UNKNOWN_LOCALE,179.655135,3,6.000000,29.064971,14.526610,41.135220,2017-01-27,12.599130,14.526610,14.009480,0.000000,0.000000,0.000000
7,true,304,true,tablet,UNKNOWN_LOCALE,82.717051,2,4.000000,14.996727,11.647145,9.684406,2017-01-27,2.291819,4.842203,2.550384,0.000000,0.000000,0.000000
7,true,305,false,desktop,UNKNOWN_LOCALE,248.531342,5,32.000000,45.098533,12.455960,14.455745,2017-01-27,0.000000,7.741979,6.713766,0.000000,0.000000,0.000000
7,true,305,false,smartphone,UNKNOWN_LOCALE,200.226105,3,25.000000,35.515855,7.741981,11.030142,2017-01-27,0.000000,7.741981,3.288161,0.000000,0.000000,0.000000
7,true,305,false,unknown,UNKNOWN_LOCALE,89.508264,3,12.000000,16.649074,7.148528,9.876861,2017-01-27,0.000000,3.027997,6.848864,0.000000,0.000000,0.000000
7,true,305,true,desktop,UNKNOWN_LOCALE,81.984536,6,10.000000,17.768960,12.955046,7.184746,2017-01-27,0.000000,0.000000,7.184746,0.000000,0.000000,0.000000
7,true,305,true,smartphone,UNKNOWN_LOCALE,33.630292,3,4.000000,7.692198,7.897086,3.052420,2017-01-27,0.000000,0.000000,3.052420,0.000000,0.000000,0.000000
7,true,305,true,unknown,UNKNOWN_LOCALE,87.512200,6,10.000000,19.250638,13.703604,0.000000,2017-01-27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,true,306,false,desktop,UNKNOWN_LOCALE,31.732884,1,1.000000,5.288814,4.842203,4.842203,2017-01-27,0.000000,4.842203,0.000000,0.000000,0.000000,0.000000
7,true,306,false,smartphone,UNKNOWN_LOCALE,24.681132,1,1.000000,4.113522,4.842203,4.842203,2017-01-27,0.000000,4.842203,0.000000,0.000000,0.000000,0.000000
7,true,306,true,desktop,UNKNOWN_LOCALE,315.366102,2,3.000000,50.725602,9.684407,64.535285,2017-01-27,0.000000,9.684407,54.850878,0.000000,0.000000,0.000000
7,true,309,false,desktop,UNKNOWN_LOCALE,91.439422,1,10.000000,17.099402,1.685986,1.685986,2017-01-27,0.000000,1.685986,0.000000,0.000000,0.000000,0.000000
7,true,309,false,smartphone,UNKNOWN_LOCALE,26.257164,1,8.000000,5.297494,1.685988,0.000000,2017-01-27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,true,309,false,tablet,UNKNOWN_LOCALE,120.460498,1,14.000000,22.521276,2.434551,2.434551,2017-01-27,0.000000,2.434551,0.000000,0.000000,0.000000,0.000000
7,true,309,false,unknown,UNKNOWN_LOCALE,19.347384,1,9.000000,4.175810,2.434545,0.000000,2017-01-27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,true,309,true,desktop,UNKNOWN_LOCALE,313.446452,5,38.000000,54.420408,14.546530,35.295648,2017-01-27,0.000000,12.111986,23.183662,0.000000,0.000000,0.000000
7,true,309,true,unknown,UNKNOWN_LOCALE,557.410870,9,79.000000,104.079505,21.007241,16.886709,2017-01-27,0.000000,16.886709,0.000000,0.000000,0.000000,0.000000
7,true,310,false,desktop,UNKNOWN_LOCALE,397.620000,9,52.000000,71.210000,25.630000,6.580000,2017-01-27,0.000000,0.000000,6.580000,0.000000,0.000000,0.000000
7,true,310,false,smartphone,UNKNOWN_LOCALE,280.120000,10,38.000000,53.290000,34.710000,10.680000,2017-01-27,0.000000,0.000000,10.680000,0.000000,0.000000,0.000000
7,true,310,true,desktop,UNKNOWN_LOCALE,2025.440000,72,265.000000,388.450000,256.890000,24.560000,2017-01-27,1.890000,0.000000,22.670000,0.000000,0.000000,0.000000
7,true,310,true,smartphone,UNKNOWN_LOCALE,1032.210000,47,133.000000,209.110000,188.280000,22.890000,2017-01-27,5.010000,0.000000,17.880000,0.000000,0.000000,0.000000
7,true,310,true,tablet,UNKNOWN_LOCALE,189.820000,8,26.000000,37.110000,28.060000,6.580000,2017-01-27,0.000000,0.000000,6.580000,0.000000,0.000000,0.000000
7,false,102,false,desktop,UNKNOWN_LOCALE,203.544000,1,2.000000,35.325986,3.027994,3.027994,2017-01-28,0.000000,3.027994,0.000000,0.000000,0.000000,0.000000
7,false,102,false,smartphone,UNKNOWN_LOCALE,149.227750,2,7.000000,26.327705,5.467182,21.939187,2017-01-28,16.472005,5.467182,0.000000,0.000000,0.000000,0.000000
7,false,102,false,unknown,UNKNOWN_LOCALE,127.398433,2,6.000000,23.196499,4.128387,18.650429,2017-01-28,14.522042,4.128387,0.000000,0.000000,0.000000,0.000000
7,false,102,true,desktop,UNKNOWN_LOCALE,147.448189,2,5.000000,26.453747,5.467180,11.461736,2017-01-28,0.000000,5.467180,5.994556,0.000000,0.000000,0.000000
7,false,102,true,unknown,UNKNOWN_LOCALE,155.294838,4,8.000000,29.756050,9.595566,14.025178,2017-01-28,5.591436,2.439186,5.994556,0.000000,0.000000,0.000000
7,false,103,true,desktop,UNKNOWN_LOCALE,43.034012,2,7.000000,8.551438,6.055990,5.187412,2017-01-28,0.000000,0.000000,5.187412,0.000000,0.000000,0.000000
7,false,103,true,smartphone,UNKNOWN_LOCALE,30.272544,1,6.000000,5.889823,3.027994,0.000000,2017-01-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,109,false,desktop,UNKNOWN_LOCALE,308.810000,5,35.000000,51.350000,10.000000,37.490000,2017-01-28,0.000000,5.000000,32.490000,0.000000,0.000000,0.000000
7,false,109,false,smartphone,UNKNOWN_LOCALE,122.620000,1,5.000000,20.070000,0.000000,10.830000,2017-01-28,0.000000,0.000000,10.830000,0.000000,0.000000,0.000000
7,false,109,true,desktop,UNKNOWN_LOCALE,251.170000,6,32.000000,43.820000,21.660000,20.830000,2017-01-28,0.000000,10.000000,10.830000,0.000000,0.000000,0.000000
7,false,109,true,smartphone,UNKNOWN_LOCALE,227.000000,2,14.000000,38.820000,5.000000,0.000000,2017-01-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,109,true,tablet,UNKNOWN_LOCALE,53.670000,2,13.000000,9.580000,8.330000,14.160000,2017-01-28,0.000000,3.330000,10.830000,0.000000,0.000000,0.000000
7,false,112,false,desktop,UNKNOWN_LOCALE,681.695995,14,61.000000,113.086097,67.670967,83.450696,2017-01-28,0.000000,67.670967,15.779729,0.000000,0.000000,0.000000
7,false,112,false,smartphone,UNKNOWN_LOCALE,1034.493177,17,97.000000,171.617743,82.171884,106.504343,2017-01-28,0.000000,82.171884,24.332459,0.000000,0.000000,0.000000
7,false,112,false,tablet,UNKNOWN_LOCALE,560.655506,10,44.000000,93.376100,48.336406,50.823620,2017-01-28,0.000000,48.336406,2.487214,0.000000,0.000000,0.000000
7,false,112,true,desktop,UNKNOWN_LOCALE,1944.074259,38,194.000000,326.176959,187.596877,189.790788,2017-01-28,0.000000,174.011059,15.779729,0.000000,0.000000,0.000000
7,false,112,true,smartphone,UNKNOWN_LOCALE,2012.965386,34,173.000000,338.554359,170.221574,181.202858,2017-01-28,0.000000,149.842848,31.360010,0.000000,0.000000,0.000000
7,false,112,true,tablet,UNKNOWN_LOCALE,508.001662,9,57.000000,84.565267,43.502762,46.435797,2017-01-28,0.000000,43.502762,2.933035,0.000000,0.000000,0.000000
7,false,113,false,desktop,UNKNOWN_LOCALE,109.900000,2,6.000000,18.310000,7.500000,7.500000,2017-01-28,0.000000,7.500000,0.000000,0.000000,0.000000,0.000000
7,false,113,false,smartphone,UNKNOWN_LOCALE,102.100000,1,5.000000,17.020000,3.750000,3.750000,2017-01-28,0.000000,3.750000,0.000000,0.000000,0.000000,0.000000
7,false,113,false,tablet,UNKNOWN_LOCALE,23.500000,1,1.000000,3.920000,3.750000,3.750000,2017-01-28,0.000000,3.750000,0.000000,0.000000,0.000000,0.000000
7,false,113,true,desktop,UNKNOWN_LOCALE,140.000000,2,6.000000,23.340000,7.500000,7.500000,2017-01-28,0.000000,7.500000,0.000000,0.000000,0.000000,0.000000
7,false,113,true,smartphone,UNKNOWN_LOCALE,121.400000,2,5.000000,20.240000,7.500000,7.500000,2017-01-28,0.000000,7.500000,0.000000,0.000000,0.000000,0.000000
7,false,113,true,tablet,UNKNOWN_LOCALE,148.950000,1,7.000000,24.830000,3.750000,3.750000,2017-01-28,0.000000,3.750000,0.000000,0.000000,0.000000,0.000000
7,false,114,false,desktop,UNKNOWN_LOCALE,83.570000,1,7.000000,14.420000,0.000000,16.380000,2017-01-28,0.000000,0.000000,16.380000,0.000000,0.000000,0.000000
7,false,114,true,desktop,UNKNOWN_LOCALE,173.900000,2,8.000000,31.070000,4.960000,4.960000,2017-01-28,0.000000,4.960000,0.000000,0.000000,0.000000,0.000000
7,false,116,false,desktop,UNKNOWN_LOCALE,119.100000,1,8.000000,19.850000,0.000000,0.000000,2017-01-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,116,false,smartphone,UNKNOWN_LOCALE,93.900000,1,6.000000,15.650000,0.000000,0.000000,2017-01-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,116,true,desktop,UNKNOWN_LOCALE,390.500000,5,28.000000,65.430000,15.000000,29.800000,2017-01-28,0.000000,10.000000,19.800000,0.000000,0.000000,0.000000
7,false,116,true,smartphone,UNKNOWN_LOCALE,333.350000,6,34.000000,58.910000,16.660000,0.000000,2017-01-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,116,true,tablet,UNKNOWN_LOCALE,205.550000,2,14.000000,34.270000,0.000000,0.000000,2017-01-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,false,117,false,desktop,UNKNOWN_LOCALE,168.989745,4,12.000000,28.098475,19.334564,21.634063,2017-01-28,0.000000,19.334564,2.299499,0.000000,0.000000,0.000000
7,false,117,false,smartphone,UNKNOWN_LOCALE,53.381237,1,4.000000,8.904694,4.833640,4.833640,2017-01-28,0.000000,4.833640,0.000000,0.000000,0.000000,0.000000
7,false,117,false,tablet,UNKNOWN_LOCALE,212.445591,2,6.000000,35.219884,9.667282,15.439495,2017-01-28,0.000000,9.667282,5.772213,0.000000,0.000000,0.000000
7,false,117,true,desktop,UNKNOWN_LOCALE,523.933908,9,23.000000,87.111141,43.502774,49.861594,2017-01-28,0.000000,43.502774,6.358820,0.000000,0.000000,0.000000
7,false,117,true,smartphone,UNKNOWN_LOCALE,268.759863,6,11.000000,44.605596,29.001852,34.774065,2017-01-28,0.000000,29.001852,5.772213,0.000000,0.000000,0.000000
7,false,117,true,tablet,UNKNOWN_LOCALE,149.971946,3,8.000000,24.672691,14.500925,24.086083,2017-01-28,0.000000,14.500925,9.585158,0.000000,0.000000,0.000000
7,false,120,false,desktop,UNKNOWN_LOCALE,176.568708,4,5.000000,30.620885,21.293835,19.780390,2017-01-28,0.000000,14.500926,5.279464,0.000000,0.000000,0.000000
7,false,120,false,smartphone,UNKNOWN_LOCALE,133.746396,3,3.000000,23.663725,16.460193,9.667284,2017-01-28,0.000000,9.667284,0.000000,0.000000,0.000000,0.000000
7,false,120,false,tablet,UNKNOWN_LOCALE,31.676778,1,1.000000,5.279463,4.833642,4.833642,2017-01-28,0.000000,4.833642,0.000000,0.000000,0.000000,0.000000
7,false,120,true,desktop,UNKNOWN_LOCALE,138.439252,3,4.000000,23.077119,14.500926,14.500926,2017-01-28,0.000000,14.500926,0.000000,0.000000,0.000000,0.000000
7,true,116,true,desktop,UNKNOWN_LOCALE,425.150000,4,32.000000,68.830000,0.000000,60.500000,2017-01-28,0.000000,0.000000,60.500000,0.000000,0.000000,0.000000
7,false,120,true,smartphone,UNKNOWN_LOCALE,517.000213,11,12.000000,87.416173,55.129329,52.243223,2017-01-28,0.000000,48.336420,3.906803,0.000000,0.000000,0.000000
7,false,120,true,tablet,UNKNOWN_LOCALE,39.795419,1,1.000000,6.511338,4.833642,8.447141,2017-01-28,0.000000,4.833642,3.613499,0.000000,0.000000,0.000000
7,false,121,false,desktop,UNKNOWN_LOCALE,167.080000,2,10.000000,25.100000,10.000000,92.920000,2017-01-28,0.000000,10.000000,82.920000,0.000000,0.000000,0.000000
7,false,121,false,smartphone,UNKNOWN_LOCALE,37.000000,1,5.000000,7.160000,5.000000,0.000000,2017-01-28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
