promotion_activation_id,promotion_id,campaign_id,activation_site_id,utc_activation_day_id,utc_activation_time_id,utc_activation_timestamp,std_activation_day_id,std_activation_time_id,std_activation_timestamp,std_activation_timezone_id,visitor_id,user_agent_id,locale_id,customer_id
136,10534,1512815,302,7620,1303,2020-11-09 20:02:52.000,7620,1303,2020-11-09 20:02:52.000,451,efdbUl03XzqcCGa16ILdaacpU,210401,259,
137,35080002,11730032,113,7620,1303,2020-11-09 20:02:59.000,7620,1303,2020-11-09 20:02:59.000,461,acvqO11YnQdofMOFWHLa8Ujmz,283401,216,
138,35080004,11730031,116,7620,1304,2020-11-09 20:03:02.000,7620,1304,2020-11-09 20:03:02.000,461,bckuXpzMG7saHChWwmE2qTItv,701,216,
139,35090001,11730031,116,7620,1304,2020-11-09 20:03:02.000,7620,1304,2020-11-09 20:03:02.000,461,bckuXpzMG7saHChWwmE2qTItv,701,216,
140,35080004,11730031,116,7620,1304,2020-11-09 20:03:25.000,7620,1304,2020-11-09 20:03:25.000,461,acSfk2MfHwLolGuvQTgIJ4mba,362601,216,
141,35090001,11730031,116,7620,1304,2020-11-09 20:03:25.000,7620,1304,2020-11-09 20:03:25.000,461,acSfk2MfHwLolGuvQTgIJ4mba,362601,216,
142,11283,1514518,109,7620,1304,2020-11-09 20:03:28.000,7620,1304,2020-11-09 20:03:28.000,461,abGAYZrWZalqjuluC5h05Eb9X,195401,157,
143,32150001,9570051,2703,7620,1304,2020-11-09 20:03:29.000,7620,1304,2020-11-09 20:03:29.000,461,cfkZDcrFIoMyJwFzjDbTaFClx,195101,259,
144,30870083,2920079,2501,7620,1304,2020-11-09 20:03:32.000,7620,1304,2020-11-09 20:03:32.000,451,abAkPgHpscNSkKbwFRf0TKqt7,334801,259,
145,28790001,1510344,109,7620,1304,2020-11-09 20:03:39.000,7620,1304,2020-11-09 20:03:39.000,461,ab8eOEx7wEe3AZaUO1m5LUCRX,13201,233,
146,10364,1511841,109,7620,1304,2020-11-09 20:03:39.000,7620,1304,2020-11-09 20:03:39.000,461,ab8eOEx7wEe3AZaUO1m5LUCRX,13201,233,
147,29610001,1512212,113,7620,1304,2020-11-09 20:03:44.000,7620,1304,2020-11-09 20:03:44.000,461,abr9cQKC9Xw5ktJNCRfIIg6CW,103,216,
148,35100170,11730054,2601,7620,1304,2020-11-09 20:03:45.000,7620,1304,2020-11-09 20:03:45.000,461,abcXmFfdIUqn2bjDIGmHORmjJ,250401,216,
149,35100196,11730054,2601,7620,1304,2020-11-09 20:03:45.000,7620,1304,2020-11-09 20:03:45.000,461,abcXmFfdIUqn2bjDIGmHORmjJ,250401,216,
