visit_date,site_id,registered,ua_class,ua_family,ua_engine,ua_os,ua_os_family,device_class_code,device_market_name,device_brand,num_visits,locale_code
2019-06-26,111,false,Mobile browser,Facebook App,WebKit,iOS 12,iOS,Smartphone,iPhone 7,Apple,98,UNKNOWN_LOCALE
2019-06-26,902,false,Crawler,Google-Ads,unknown,iOS 9,iOS,Smartphone,iPhone,Apple,98,UNKNOWN_LOCALE
2019-06-26,1302,false,Unrecognized,Catchpoint Analyser/Synthetic Monitoring,unknown,unknown,unknown,Unrecognized,unknown,unknown,98,UNKNOWN_LOCALE
2019-06-26,109,false,Unrecognized,unknown,unknown,unknown,unknown,unknown,unknown,unknown,97,UNKNOWN_LOCALE
2019-06-26,303,false,Mobile browser,Snapchat App,unknown,iOS 12,iOS,Smartphone,iPhone XR,Apple,97,UNKNOWN_LOCALE
2019-06-26,112,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,97,UNKNOWN_LOCALE
2019-06-26,1101,false,Unrecognized,Catchpoint Analyser/Synthetic Monitoring,unknown,unknown,unknown,Unrecognized,unknown,unknown,96,UNKNOWN_LOCALE
2019-06-26,113,false,Crawler,FacebookBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,96,UNKNOWN_LOCALE
2019-06-26,109,false,Crawler,360Spider,unknown,Windows 7,Windows,Unrecognized,unknown,unknown,96,UNKNOWN_LOCALE
2019-06-26,1003,false,Unrecognized,Catchpoint Analyser/Synthetic Monitoring,unknown,unknown,unknown,Unrecognized,unknown,unknown,96,UNKNOWN_LOCALE
2019-06-26,1103,false,Unrecognized,Catchpoint Analyser/Synthetic Monitoring,unknown,unknown,unknown,Unrecognized,unknown,unknown,96,UNKNOWN_LOCALE
2019-06-26,903,false,Browser,Chrome,WebKit/Blink,macOS 10.12 Sierra,macOS,Desktop,Mac,Apple,96,UNKNOWN_LOCALE
2019-06-26,1701,false,Unrecognized,Catchpoint Analyser/Synthetic Monitoring,unknown,unknown,unknown,Unrecognized,unknown,unknown,96,UNKNOWN_LOCALE
2019-06-26,109,false,Browser,Safari,WebKit,macOS 10.14 Mojave,macOS,Desktop,Mac,Apple,96,UNKNOWN_LOCALE
2019-06-26,113,false,Browser,IE,Trident,Windows 8.1,Windows,Desktop,unknown,unknown,96,UNKNOWN_LOCALE
2019-06-26,1001,false,Unrecognized,Catchpoint Analyser/Synthetic Monitoring,unknown,unknown,unknown,Unrecognized,unknown,unknown,96,UNKNOWN_LOCALE
2019-06-26,1002,false,Unrecognized,Catchpoint Analyser/Synthetic Monitoring,unknown,unknown,unknown,Unrecognized,unknown,unknown,96,UNKNOWN_LOCALE
2019-06-26,302,false,Browser,Firefox,Gecko,Windows 8.1,Windows,Desktop,unknown,unknown,96,UNKNOWN_LOCALE
2019-06-26,1102,false,Unrecognized,Catchpoint Analyser/Synthetic Monitoring,unknown,unknown,unknown,Unrecognized,unknown,unknown,96,UNKNOWN_LOCALE
2019-06-26,109,false,Crawler,bingbot,unknown,unknown,unknown,Unrecognized,unknown,unknown,95,UNKNOWN_LOCALE
2019-06-26,112,false,Unrecognized,unknown,unknown,unknown,unknown,unknown,unknown,unknown,95,UNKNOWN_LOCALE
2019-06-26,111,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,Galaxy J4+,Samsung,95,UNKNOWN_LOCALE
2019-06-26,903,false,Crawler,StatusCake,unknown,Windows 8,Windows,Unrecognized,unknown,unknown,95,UNKNOWN_LOCALE
2019-06-26,102,false,Crawler,AhrefsBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,95,UNKNOWN_LOCALE
2019-06-26,115,false,Crawler,FacebookBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,94,UNKNOWN_LOCALE
2019-06-26,109,false,Crawler,DotBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,94,UNKNOWN_LOCALE
2019-06-26,114,false,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,94,UNKNOWN_LOCALE
2019-06-26,308,false,Mobile browser,Safari mobile,WebKit,iOS 12,iOS,Smartphone,iPhone,Apple,94,UNKNOWN_LOCALE
2019-06-26,903,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,93,UNKNOWN_LOCALE
2019-06-26,112,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,93,UNKNOWN_LOCALE
2019-06-26,303,false,Crawler,bingbot,unknown,Windows 7,Windows,Unrecognized,unknown,unknown,93,UNKNOWN_LOCALE
2019-06-26,903,false,Browser,IE,Trident,Windows 10,Windows,Desktop,unknown,unknown,92,UNKNOWN_LOCALE
2019-06-26,901,false,Crawler,FacebookBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,92,UNKNOWN_LOCALE
2019-06-26,302,false,Crawler,YandexBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,92,UNKNOWN_LOCALE
2019-06-26,303,false,Mobile browser,Snapchat App,unknown,iOS 12,iOS,Smartphone,iPhone 8 Plus,Apple,92,UNKNOWN_LOCALE
2019-06-26,309,false,Crawler,bingbot,unknown,Windows 7,Windows,Unrecognized,unknown,unknown,92,UNKNOWN_LOCALE
2019-06-26,111,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,P20,Huawei,91,UNKNOWN_LOCALE
2019-06-26,112,false,Browser,Chrome,WebKit/Blink,OS X 10.10 Yosemite,OS X,Desktop,Mac,Apple,91,UNKNOWN_LOCALE
2019-06-26,111,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,Galaxy J5 (2017),Samsung,91,UNKNOWN_LOCALE
2019-06-26,102,false,Crawler,Googlebot,unknown,unknown,unknown,Unrecognized,unknown,unknown,90,UNKNOWN_LOCALE
2019-06-26,1103,false,Crawler,FacebookBot,unknown,unknown,unknown,Unrecognized,unknown,unknown,90,UNKNOWN_LOCALE
2019-06-26,112,false,Browser,Chrome,WebKit/Blink,Windows 10,Windows,Desktop,unknown,unknown,90,UNKNOWN_LOCALE
2019-06-26,302,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,unknown,unknown,90,UNKNOWN_LOCALE
2019-06-26,1101,false,Crawler,Google-Ads,unknown,unknown,unknown,Unrecognized,unknown,unknown,90,UNKNOWN_LOCALE
