request_date,site_id,api_resource,client_id,api_version,api_name,status_code,method,num_requests,response_time,num_requests_bucket1,num_requests_bucket2,num_requests_bucket3,num_requests_bucket4,num_requests_bucket5,num_requests_bucket6,num_requests_bucket7,num_requests_bucket8,num_requests_bucket9,num_requests_bucket10,num_requests_bucket11
2019-11-18 00:00:00.000,2101,/sites/{site_id}/campaigns/{campaign_id}/coupons/({coupon_ids}),6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,10,720,10,0,0,0,0,0,0,0,0,0,0
2019-11-16 00:00:00.000,1901,/products/({ids})/availability,73227ec8-a091-4882-a49e-32622ac4f1fe,v19_5,shop,404,GET,2,37,2,0,0,0,0,0,0,0,0,0,0
2019-11-18 00:00:00.000,1901,/baskets/{basket_id}/items,28d0be6e-ecb3-4f73-91a4-ad0bb4dd4458,v19_5,shop,200,POST,302,30043,302,0,0,0,0,0,0,0,0,0,0
2019-11-18 00:00:00.000,2101,/sites/{site_id}/custom_objects/{object_type}/{key},690d0478-aa14-4217-827a-885d87393c89,v19_8,data,404,GET,2,686,1,1,0,0,0,0,0,0,0,0,0
2019-11-18 00:00:00.000,1901,/baskets/{basket_id}/items/{item_id},a98a2e17-c8e8-4b66-8423-1b56e5cfaa35,v19_5,shop,400,PATCH,1,27,1,0,0,0,0,0,0,0,0,0,0
2019-11-26 00:00:00.000,1901,/baskets/{basket_id}/items,a98a2e17-c8e8-4b66-8423-1b56e5cfaa35,v19_5,shop,400,POST,4,125,4,0,0,0,0,0,0,0,0,0,0
2019-11-26 00:00:00.000,1901,/baskets/{basket_id},1272429c-127a-445b-9c54-7fe960741a62,v19_5,shop,404,GET,7,125,7,0,0,0,0,0,0,0,0,0,0
2019-11-24 00:00:00.000,2101,/sites/{site_id}/coupons/{coupon_id},6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,6,1461,6,0,0,0,0,0,0,0,0,0,0
2019-11-14 00:00:00.000,2101,/sites/{site_id}/campaigns/{campaign_id},6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,1,41,1,0,0,0,0,0,0,0,0,0,0
2019-12-04 00:00:00.000,1901,/baskets/{basket_id}/items,73227ec8-a091-4882-a49e-32622ac4f1fe,v19_5,shop,200,POST,453,44710,453,0,0,0,0,0,0,0,0,0,0
2019-12-25 00:00:00.000,1901,/customers/auth,a98a2e17-c8e8-4b66-8423-1b56e5cfaa35,v19_5,shop,200,POST,36,2036,36,0,0,0,0,0,0,0,0,0,0
2019-12-04 00:00:00.000,2101,/sites/{site_id}/coupons/{coupon_id},6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,GET,8,353,8,0,0,0,0,0,0,0,0,0,0
2019-12-04 00:00:00.000,1901,/baskets/{basket_id},a98a2e17-c8e8-4b66-8423-1b56e5cfaa35,v19_5,shop,404,GET,5,78,5,0,0,0,0,0,0,0,0,0,0
2019-11-28 00:00:00.000,2101,/sites/{site_id}/customer_group_search,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,POST,19,4780,17,2,0,0,0,0,0,0,0,0,0
2019-11-20 00:00:00.000,2101,__UNKNOWN__,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,PATCH,2,169,2,0,0,0,0,0,0,0,0,0,0
2019-11-14 00:00:00.000,2101,__UNKNOWN__,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,PATCH,8,783,8,0,0,0,0,0,0,0,0,0,0
2019-11-14 00:00:00.000,2101,/sites,de8fc33e-180f-4e17-972e-dd350e1a4047,v18_8,data,200,GET,723,299997,646,72,2,2,0,1,0,0,0,0,0
2019-11-30 00:00:00.000,1901,/baskets/{basket_id}/items/{item_id},a98a2e17-c8e8-4b66-8423-1b56e5cfaa35,v19_5,shop,404,PATCH,1,19,1,0,0,0,0,0,0,0,0,0,0
2019-11-16 00:00:00.000,1901,/products/({ids}),28d0be6e-ecb3-4f73-91a4-ad0bb4dd4458,v19_5,shop,200,GET,2891,107565,2886,2,0,0,1,1,1,0,0,0,0
2019-11-16 00:00:00.000,1901,/products/({ids}),73227ec8-a091-4882-a49e-32622ac4f1fe,v19_5,shop,200,GET,2307,75872,2305,1,0,1,0,0,0,0,0,0,0
2019-11-16 00:00:00.000,2101,/sites/{site_id}/custom_objects/{object_type}/{key},690d0478-aa14-4217-827a-885d87393c89,v19_8,data,200,PUT,1,718,0,1,0,0,0,0,0,0,0,0,0
2019-12-09 00:00:00.000,1901,/sessions,73227ec8-a091-4882-a49e-32622ac4f1fe,v19_5,shop,204,POST,164,5017,164,0,0,0,0,0,0,0,0,0,0
2019-11-24 00:00:00.000,1901,/baskets/{basket_id},1272429c-127a-445b-9c54-7fe960741a62,v19_5,shop,404,GET,13,515,13,0,0,0,0,0,0,0,0,0,0
2019-11-18 00:00:00.000,2101,/sites/{site_id}/customer_groups/{id},6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,5,799,5,0,0,0,0,0,0,0,0,0,0
2019-11-18 00:00:00.000,1901,/customers/auth,73227ec8-a091-4882-a49e-32622ac4f1fe,v19_5,shop,200,POST,146,6472,145,0,0,1,0,0,0,0,0,0,0
2019-11-18 00:00:00.000,2101,/sites/{site_id}/coupon_search,de8fc33e-180f-4e17-972e-dd350e1a4047,v18_8,data,200,POST,116,11182,115,1,0,0,0,0,0,0,0,0,0
2019-11-12 00:00:00.000,1901,/products/({ids}),73227ec8-a091-4882-a49e-32622ac4f1fe,v19_5,shop,200,GET,1866,68234,1858,2,3,1,1,0,1,0,0,0,0
2019-11-12 00:00:00.000,1901,/products/({ids})/availability,1272429c-127a-445b-9c54-7fe960741a62,v19_5,shop,200,GET,156119,4236970,155775,101,74,42,45,27,21,9,5,6,14
2019-11-24 00:00:00.000,2101,/sites/{site_id}/promotions/tags,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,200,GET,1,494,1,0,0,0,0,0,0,0,0,0,0
2019-11-22 00:00:00.000,2101,/sites/{site_id}/custom_objects/{object_type}/{key},690d0478-aa14-4217-827a-885d87393c89,v19_8,data,404,GET,2,762,1,1,0,0,0,0,0,0,0,0,0
2019-11-26 00:00:00.000,1901,/customers/auth,28d0be6e-ecb3-4f73-91a4-ad0bb4dd4458,v19_5,shop,200,POST,335,9902,333,2,0,0,0,0,0,0,0,0,0
2019-11-20 00:00:00.000,2101,__UNKNOWN__,6c957560-464f-4a98-ad0f-5e9662527e27,v99_9,data,204,OPTIONS,62,9473,62,0,0,0,0,0,0,0,0,0,0
