search_date,site_id,registered,device_class_code,locale_code,num_searches_with_results,num_searches_without_results,num_results
2020-04-26,122,true,smartphone,en_US,102,0,1089
2020-04-26,113,true,desktop,fr_FR,24,0,210
2020-04-26,303,false,smartphone,it_IT,29,0,226
2020-04-26,601,true,tablet,en_ZA,1,0,7
2020-04-26,115,true,smartphone,nl_BE,26,0,234
2020-04-26,1102,true,smartphone,fr_FR,31,0,287
2020-04-26,117,true,desktop,en_GB,53,0,407
2020-04-26,301,true,smartphone,en_GB,103,0,1057
2020-04-26,1103,true,tablet,de_DE,4,0,19
2020-04-26,106,false,desktop,nl_NL,9,0,130
2020-04-26,109,true,tablet,es_ES,5,0,95
2020-04-26,303,false,desktop,es_ES,72,0,473
2020-04-26,109,true,desktop,it_IT,30,0,290
2020-04-26,109,true,desktop,fr_BE,1,0,7
2020-04-26,902,false,smartphone,fr_FR,1361,0,14042
2020-04-26,114,true,tablet,de_DE,17,0,184
2020-04-26,1401,true,smartphone,ar_SA,10,0,54
2020-04-26,1701,true,tablet,es_ES,2,0,5
2020-04-26,109,true,desktop,de_AT,4,0,28
2020-04-26,309,true,desktop,pl_PL,30,0,257
2020-04-26,122,false,desktop,en_US,51,0,490
2020-04-26,115,true,desktop,fr_BE,11,0,42
2020-04-26,306,true,desktop,en_GB,9,0,88
2020-04-26,801,true,smartphone,ar_AE,40,0,542
2020-04-26,106,true,desktop,de_DE,24,0,699
2020-04-26,109,false,desktop,nl_NL,12,0,131
2020-04-26,109,false,smartphone,en_DK,3,0,6
2020-04-26,109,true,smartphone,nl_NL,46,0,563
2020-04-26,303,true,tablet,fr_FR,14,0,115
2020-04-26,2001,false,tablet,en_GB,25,0,289
2020-04-26,801,true,desktop,en_AE,66,0,378
2020-04-26,121,false,desktop,fr_FR,2,0,8
2020-07-26,1202,false,tablet,de_DE,0,3,0
2020-04-26,109,true,desktop,nl_BE,3,0,32
2020-04-26,303,true,tablet,de_DE,35,0,247
2020-04-26,1202,false,smartphone,de_DE,10,0,70
2020-04-26,901,true,smartphone,it_IT,3064,0,29568
2020-04-26,1202,true,tablet,de_DE,1,0,7
2020-04-26,903,true,desktop,en_GB,328,0,2749
2020-04-26,115,true,desktop,fr_CH,1,0,12
2020-04-26,106,false,smartphone,es_ES,9,0,378
2020-04-26,103,true,unrecognized,pl_PL,5,0,13
2020-04-26,114,true,smartphone,en_US,1,0,12
2020-04-26,2002,true,smartphone,en_GB,186,0,1892
2020-04-26,303,true,smartphone,es_ES,363,0,2697
2020-04-26,106,true,smartphone,nl_NL,9,0,232
2020-04-26,106,false,tablet,it_IT,1,0,54
2020-04-26,112,true,smartphone,en_GB,443,0,7130
2020-05-06,1801,false,desktop,de_DE,3,0,25
