payment_method_id,npayment_method_id,display_name
20018,CREDIT_CARD,Credit Card
300001,HostedCreditCard,Hosted Credit Card
130001,CREDIT_CARD,Credit Card
310001,HostedCreditCard,Hosted Credit Card
10045,PayPal,PayPal
10059,BML,Bill Me Later
10060,GIFT_CERTIFICATE,Gift Certificate
10036,PayPal,PayPal
10065,GIFT_CERTIFICATE,Gift Certificate
10068,BML,Bill Me Later
10070,DW_ANDROID_PAY,Android Pay
10071,DW_ANDROID_PAY,Android Pay
10072,PAYMENT_ON_PAYU_BANK_TRANSFER,PAYMENT_ON_PAYU_BANK_TRANSFER
10062,PAYMENTTECH_GIFTCARD,Gift Card
10058,BANK_TRANSFER,Bank Transfer
10066,CREDIT_CARD,Credit Card
10067,BANK_TRANSFER,Bank Transfer
10051,GIFT_CERTIFICATE,Gift Certificate
10052,CREDIT_CARD,Credit Card
10053,BANK_TRANSFER,Bank Transfer
10054,BML,Bill Me Later
10056,DW_ANDROID_PAY,Android Pay
10033,DW_ANDROID_PAY,Android Pay
10031,DW_ANDROID_PAY,Android Pay
20083,CREDIT_CARD,Credit Card
20084,BANK_TRANSFER,Bank Transfer
20085,BML,Bill Me Later
20086,PayPal,Pay Pal
20087,DW_ANDROID_PAY,Android Pay
20088,DW_APPLE_PAY,Apple Pay
370008,PayPal,PayPal
970003,KLARNA_PAYOVERTIME,Klarna Pay over time
20091,DW_ANDROID_PAY,Android Pay
20092,DW_APPLE_PAY,Apple Pay
20093,PAYMENT_ON_PAYU_CREDIT_CARD,PAYMENT_ON_PAYU_CREDIT_CARD
20094,PAYMENT_ON_PAYU_BANK_TRANSFER,PAYMENT_ON_PAYU_BANK_TRANSFER
20095,GIFT_CERTIFICATE,Gift Certificate
20096,CREDIT_CARD,Credit Card
20097,BANK_TRANSFER,Bank Transfer
20098,BML,Bill Me Later
20099,DW_APPLE_PAY,Apple Pay
20100,DW_ANDROID_PAY,Android Pay
20101,PayPal,PayPal
20102,Sofurt,SOFORT
