registration_id,utc_registration_day_id,utc_registration_time_id,utc_registration_timestamp,std_registration_day_id,std_registration_time_id,std_registration_timestamp,std_registration_timezone_id,visitor_id,registration_site_id,locale_id,user_agent_id,customer_id
11649207,8127,1090,2022-03-31 16:29:04.000,8127,1090,2022-03-31 16:29:04.000,595,ab7RiJzAxaIWAQpyZkq1P7pYjq,3101,216,205,1584062541
11660818,8128,589,2022-04-01 08:08:24.000,8128,589,2022-04-01 08:08:24.000,595,bd0OBTYKeOsrKgZuaSKbqsGAuj,3101,216,334801,1584066043
14653453,8332,538,2022-10-22 07:17:51.000,8332,538,2022-10-22 07:17:51.000,595,abdBpclhHvUzM3MK2fnIbfVdnN,3101,216,146401,1584813738
11643304,8127,587,2022-03-31 08:06:18.000,8127,587,2022-03-31 08:06:18.000,595,bcjH72sGIyCMarujRQA4HQ9tS7,3101,216,200201,1584058228
14617204,8329,1127,2022-10-19 17:06:25.000,8329,1127,2022-10-19 17:06:25.000,595,beEJLuJxOChphaocuFNNikbvCa,3101,216,639801,1584800986
11624744,8126,601,2022-03-30 08:20:06.000,8126,601,2022-03-30 08:20:06.000,595,adKSBHbj6DS9hyxu21UMzyzaPo,3101,216,195101,1584049099
14654914,8332,643,2022-10-22 09:02:08.000,8332,643,2022-10-22 09:02:08.000,595,deb3nZqua0U0hcwHdcOreltaPX,3101,216,618901,1584814328
14613299,8329,918,2022-10-19 13:37:02.000,8329,918,2022-10-19 13:37:02.000,595,__ANONYMOUS__,3101,216,618901,1584799061
11712515,8131,923,2022-04-04 13:42:22.000,8131,923,2022-04-04 13:42:22.000,595,__ANONYMOUS__,3101,216,103,1584079495
11731312,8132,869,2022-04-05 12:48:13.000,8132,869,2022-04-05 12:48:13.000,595,abPRvXf0F9moPbh50KGBpqiEFt,3101,216,103,1584082908
8617185,7960,525,2021-10-15 07:04:43.000,7960,525,2021-10-15 07:04:43.000,595,cda1NbqeO8XapM4ohpwCVJghSM,3101,216,200201,1583137241
14583312,8327,1135,2022-10-17 17:14:25.000,8327,1135,2022-10-17 17:14:25.000,595,abvKw1J7P8MCIfBEYkfPsUF7MO,3101,216,694301,1584781179
11542618,8121,935,2022-03-25 13:54:08.000,8121,935,2022-03-25 13:54:08.000,595,aciolX6ue2hgZL8Y5aS7ZahUHQ,3101,216,402,1584024072
14597743,8328,994,2022-10-18 14:53:09.000,8328,994,2022-10-18 14:53:09.000,595,ad9HxtLzi9cbWVv9oCc75fjsBa,3101,216,651201,1584789983
8671063,7963,872,2021-10-18 12:51:31.000,7963,872,2021-10-18 12:51:31.000,595,abKtycy3Ii5Eo3IDk1b9huR12Q,3101,216,619501,1583159445
14602423,8328,1339,2022-10-18 20:38:54.000,8328,1339,2022-10-18 20:38:54.000,595,ab1W3wGt050ZfNwDxNBZDAuX2i,3101,216,618901,1584793933
14598947,8328,724,2022-10-18 10:23:04.000,8328,724,2022-10-18 10:23:04.000,595,acUyWWw2aEoCwyomQ4ftUFwr0K,3101,216,103,1584791368
14592485,8328,686,2022-10-18 09:45:26.000,8328,686,2022-10-18 09:45:26.000,595,ablg1pE1ykwEd3vCzjEiWve46P,3101,216,618901,1584785619
8713281,7965,992,2021-10-20 14:51:39.000,7965,992,2021-10-20 14:51:39.000,595,bdOpXFbRVsdj6jPyLaRxnipsnn,3101,216,334801,1583181584
11632543,8126,1256,2022-03-30 19:15:25.000,8126,1256,2022-03-30 19:15:25.000,595,bdaewydFnxGb8VG6oanxDpPygI,3101,216,501,1584055118
