customer_list_record_id,utc_record_day_id,utc_record_time_id,utc_record_timestamp,std_record_day_id,std_record_time_id,std_record_timestamp,std_record_timezone_id,site_id,ncustomer_list_id,num_customers
4936,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,104,mbl-fr,5150
4937,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,107,lancome-emea-me,1966
4938,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,108,skinceuticals-master,2
4939,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,109,kiehls-emea-west,236064
4940,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,110,ysl-dmi,1
4941,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,1002,house99-es,59
4942,7456,845,2020-05-29 12:24:10.000,7456,845,2020-05-29 12:24:10.000,595,1801,giorgioarmani-eu,6296
4943,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,111,lorealparis-fr,683307
4944,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,601,urbandecay-mea,12083
4945,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,112,kiehls-uk,192019
4946,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,2001,kerastase-uk,16566
4947,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,1004,house99-de,46
4948,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,501,house99-uk,4625
4949,7456,845,2020-05-29 12:24:13.000,7456,845,2020-05-29 12:24:13.000,595,113,ysl-fr,64005
4950,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,110,ysl-dmi,1
4951,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,1002,house99-es,59
4952,7456,905,2020-05-29 13:24:10.000,7456,905,2020-05-29 13:24:10.000,595,1801,giorgioarmani-eu,6298
4953,7456,905,2020-05-29 13:24:13.000,7456,905,2020-05-29 13:24:13.000,595,111,lorealparis-fr,683318
4954,7456,905,2020-05-29 13:24:13.000,7456,905,2020-05-29 13:24:13.000,595,601,urbandecay-mea,12083
4955,7456,905,2020-05-29 13:24:13.000,7456,905,2020-05-29 13:24:13.000,595,112,kiehls-uk,192054
4956,7456,905,2020-05-29 13:24:13.000,7456,905,2020-05-29 13:24:13.000,595,2001,kerastase-uk,16566
4957,7456,905,2020-05-29 13:24:13.000,7456,905,2020-05-29 13:24:13.000,595,1004,house99-de,46
4958,7456,905,2020-05-29 13:24:13.000,7456,905,2020-05-29 13:24:13.000,595,501,house99-uk,4625
4959,7456,905,2020-05-29 13:24:13.000,7456,905,2020-05-29 13:24:13.000,595,113,ysl-fr,64005
5101,7456,965,2020-05-29 14:24:04.000,7456,965,2020-05-29 14:24:04.000,595,1501,lancome-emea-me-v2,2613
5102,7456,965,2020-05-29 14:24:04.000,7456,965,2020-05-29 14:24:04.000,595,305,nyx-emea-east,25971
5103,7456,965,2020-05-29 14:24:04.000,7456,965,2020-05-29 14:24:04.000,595,1101,skinceuticals-it,4719
5104,7456,965,2020-05-29 14:24:04.000,7456,965,2020-05-29 14:24:04.000,595,1201,itcosmetics-fr,7781
5105,7456,965,2020-05-29 14:24:04.000,7456,965,2020-05-29 14:24:04.000,595,306,clarisonic,2036
5106,7456,965,2020-05-29 14:24:04.000,7456,965,2020-05-29 14:24:04.000,595,901,nyx-it,66673
5107,7456,965,2020-05-29 14:24:04.000,7456,965,2020-05-29 14:24:04.000,595,103,dermacenter-emea-east,29189
5108,7456,965,2020-05-29 14:24:06.000,7456,965,2020-05-29 14:24:06.000,595,105,nyx-emea-west,409995
5109,7456,965,2020-05-29 14:24:06.000,7456,965,2020-05-29 14:24:06.000,595,106,urbandecay-emea-west,106881
5110,7456,965,2020-05-29 14:24:06.000,7456,965,2020-05-29 14:24:06.000,595,1301,giorgioarmani-fr,0
5111,7456,965,2020-05-29 14:24:06.000,7456,965,2020-05-29 14:24:06.000,595,1001,house99-fr,65
5112,7456,965,2020-05-29 14:24:06.000,7456,965,2020-05-29 14:24:06.000,595,1003,house99-it,49
