visit_date,site_id,registered,ua_class,ua_family,ua_engine,ua_os,ua_os_family,device_class_code,device_market_name,device_brand,num_visits,locale_code
2019-06-27,114,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,Honor 10,Huawei,2,UNKNOWN_LOCALE
2019-06-27,1101,false,Browser,Safari,WebKit,OS X 10.11 El Capitan,OS X,Desktop,Mac,Apple,2,UNKNOWN_LOCALE
2019-06-27,1701,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Mate 9,Huawei,2,UNKNOWN_LOCALE
2019-06-27,902,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 5.1 lollipop,Android,Smartphone,Galaxy S6,Samsung,2,UNKNOWN_LOCALE
2019-06-27,122,false,Mobile browser,Instagram App,WebKit/Blink,iOS 12,iOS,Smartphone,iPhone XS,Apple,2,UNKNOWN_LOCALE
2019-06-27,305,true,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Galaxy A5,Samsung,2,UNKNOWN_LOCALE
2019-06-27,1101,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Galaxy A3 (2017),Samsung,2,UNKNOWN_LOCALE
2019-06-27,302,false,Mobile browser,Instagram App,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy S9+,Samsung,2,UNKNOWN_LOCALE
2019-06-27,1103,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 6.0 Marshmallow,Android,Smartphone,P8 Lite,Huawei,2,UNKNOWN_LOCALE
2019-06-27,116,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 5.1 lollipop,Android,Smartphone,Y5 II,Huawei,2,UNKNOWN_LOCALE
2019-06-27,1102,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy S8,Samsung,2,UNKNOWN_LOCALE
2019-06-27,117,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy A70 (2019),Samsung,2,UNKNOWN_LOCALE
2019-06-27,121,true,Mobile browser,Chrome Mobile,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,HARRY,Wiko,2,UNKNOWN_LOCALE
2019-06-27,109,false,Mobile browser,MIUI Browser,WebKit,Android 8.0 Oreo,Android,Smartphone,Mi 5,Xiaomi,2,UNKNOWN_LOCALE
2019-06-27,115,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Redmi Note 6 Pro,Xiaomi,2,UNKNOWN_LOCALE
2019-06-27,601,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Y7 (2018),Huawei,2,UNKNOWN_LOCALE
2019-06-27,303,false,Mobile browser,Instagram App,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,Galaxy S6 Edge,Samsung,2,UNKNOWN_LOCALE
2019-06-27,801,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy A7,Samsung,2,UNKNOWN_LOCALE
2019-06-27,901,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Galaxy A6 (2018),Samsung,2,UNKNOWN_LOCALE
2019-06-27,121,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 6.0 Marshmallow,Android,Smartphone,Pop 4 6,Alcatel,2,UNKNOWN_LOCALE
2019-06-27,302,false,Mobile browser,Facebook App,WebKit,iOS 11,iOS,Smartphone,iPhone 7 Plus,Apple,2,UNKNOWN_LOCALE
2019-06-27,116,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Galaxy J4,Samsung,2,UNKNOWN_LOCALE
2019-06-27,114,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 6.0 Marshmallow,Android,Smartphone,Galaxy A7 (2017),Samsung,2,UNKNOWN_LOCALE
2019-06-27,902,false,Mobile browser,Instagram App,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Honor View 20,Huawei,2,UNKNOWN_LOCALE
2019-06-27,117,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,unknown,unknown,2,UNKNOWN_LOCALE
2019-06-27,115,false,Mobile browser,Instagram App,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,P8 Lite (2017),Huawei,2,UNKNOWN_LOCALE
2019-06-27,120,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 7.0 Nougat,Android,Smartphone,Galaxy S6,Samsung,2,UNKNOWN_LOCALE
2019-06-27,309,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 9.0 Pie,Android,Smartphone,Galaxy A7 (2018),Samsung,2,UNKNOWN_LOCALE
2019-06-27,601,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 6.0 Marshmallow,Android,Smartphone,P9 lite,Huawei,2,UNKNOWN_LOCALE
2019-06-27,305,false,Mobile browser,Facebook App,WebKit,iOS 11,iOS,Smartphone,iPhone 6s,Apple,2,UNKNOWN_LOCALE
2019-06-27,115,false,Mobile browser,Mobile Samsung Browser,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Mate 10 lite,Huawei,2,UNKNOWN_LOCALE
2019-06-27,1303,false,Mobile browser,Facebook App,WebKit,Android 8.0 Oreo,Android,Smartphone,Galaxy J3 (2017),Samsung,2,UNKNOWN_LOCALE
2019-06-27,1303,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.1 Oreo,Android,Smartphone,Redmi S2,Xiaomi,2,UNKNOWN_LOCALE
2019-06-27,904,false,Mobile browser,Instagram App,WebKit/Blink,Android 5.1 lollipop,Android,Smartphone,Ascend G7,Huawei,2,UNKNOWN_LOCALE
2019-06-27,109,false,Mobile browser,Facebook App,WebKit,Android 9.0 Pie,Android,Smartphone,Galaxy J6+,Samsung,2,UNKNOWN_LOCALE
2019-06-27,303,false,Mobile browser,Chrome Mobile,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Nova 2 Dual,Huawei,2,UNKNOWN_LOCALE
2019-06-27,1303,false,Mobile browser,Instagram App,WebKit/Blink,Android 8.0 Oreo,Android,Smartphone,Honor 9 Lite,Huawei,2,UNKNOWN_LOCALE
2019-06-27,117,false,Browser,Chrome Headless,Blink,Linux,Linux,Desktop,unknown,unknown,2,UNKNOWN_LOCALE
