sku_id,nsku_id,sku_display_name,sku_upc_code,sku_ean_code,sku_brand,sku_manufacture_name,sku_manufacture_sku,product_id,nproduct_id,product_display_name,product_upc_code,product_ean_code,product_brand,product_manufacture_name,product_manufacture_sku,is_master,is_bundle
16199,3365440332423,3365440332423,3365440332423,3365440332423,YSL,,,5795,3365440332423,3365440332423,3365440332423,3365440332423,YSL,,,false,false
16200,3365440332539,3365440332539,3365440332539,3365440332539,YSL,,,5796,3365440332539,3365440332539,3365440332539,3365440332539,YSL,,,false,false
16201,3365440332553,3365440332553,3365440332553,3365440332553,YSL,,,5797,3365440332553,3365440332553,3365440332553,3365440332553,YSL,,,false,false
16204,3365440332591,3365440332591,3365440332591,3365440332591,YSL,,,5800,3365440332591,3365440332591,3365440332591,3365440332591,YSL,,,false,false
16206,3365440332621,3365440332621,3365440332621,3365440332621,YSL,,,5802,3365440332621,3365440332621,3365440332621,3365440332621,YSL,,,false,false
16207,3365440332638,3365440332638,3365440332638,3365440332638,YSL,,,5803,3365440332638,3365440332638,3365440332638,3365440332638,YSL,,,false,false
16208,3365440332652,3365440332652,3365440332652,3365440332652,YSL,,,5804,3365440332652,3365440332652,3365440332652,3365440332652,YSL,,,false,false
17873,3365440330795,3365440330795,3365440330795,3365440330795,YSL,,,7342,234YSL,Opium Rich Body Creme,,,YSL,,,true,false
17875,3365440774094,3365440774094,3365440774094,3365440774094,YSL,,,7343,295YSL,L'Homme Sport Eau de Toilette,,,YSL,,,true,false
17876,3365440774155,3365440774155,3365440774155,3365440774155,YSL,,,7343,295YSL,L'Homme Sport Eau de Toilette,,,YSL,,,true,false
17878,3365440750029,3365440750029,3365440750029,3365440750029,YSL,,,7345,296YSL,Paris Premieres Roses 2014,,,YSL,,,true,false
17880,3365440153943,3365440153943,3365440153943,3365440153943,YSL,,,7346,300YSL,L'Homme Libre Holiday Gift Set,,,YSL,,,true,false
17883,3365440602632,3365440602632,3365440602632,3365440602632,YSL,,,7351,196YSLMini,Belle d'Opium (1.5ml / 0.05 fl.oz.),,,YSL,,,true,false
17897,3365440125155,3365440125155,3365440125155,3365440125155,YSL,,,7364,197YSLDeluxe,Temps Majeur Yeux,,,YSL,,,true,false
17898,3605970119669,3605970119669,3605970119669,3605970119669,YSL,,,7365,197YSLPMini,Belle D'Opium Body Lotion,,,YSL,,,true,false
16205,3365440332614,3365440332614,3365440332614,3365440332614,YSL,,,5801,3365440332614,3365440332614,3365440332614,3365440332614,YSL,,,false,false
16185,3365440331198,3365440331198,3365440331198,3365440331198,YSL,,,5781,3365440331198,3365440331198,3365440331198,3365440331198,YSL,,,false,false
16189,3365440331259,3365440331259,3365440331259,3365440331259,YSL,,,5785,3365440331259,3365440331259,3365440331259,3365440331259,YSL,,,false,false
3450209,3605061260027,3605061260027,3605061260027,3605061260027,YSL,,,180209,3605061260027,3605061260027,3605061260027,3605061260027,YSL,,,false,false
9052673,4056047238315,4056047238315,4056047238315,4056047238315,Lancôme,,,441467,4056047238315,4056047238315,4056047238315,4056047238315,Lancôme,,,false,false
9052684,4056047246310,4056047246310,4056047246310,4056047246310,Lancôme,,,441478,4056047246310,4056047246310,4056047246310,4056047246310,Lancôme,,,false,false
16225,3365440333154,3365440333154,3365440333154,3365440333154,YSL,,,5821,3365440333154,3365440333154,3365440333154,3365440333154,YSL,,,false,false
16227,3365440333178,3365440333178,3365440333178,3365440333178,YSL,,,5823,3365440333178,3365440333178,3365440333178,3365440333178,YSL,,,false,false
16228,3365440333185,3365440333185,3365440333185,3365440333185,YSL,,,5824,3365440333185,3365440333185,3365440333185,3365440333185,YSL,,,false,false
16230,3365440333208,3365440333208,3365440333208,3365440333208,YSL,,,5826,3365440333208,3365440333208,3365440333208,3365440333208,YSL,,,false,false
16237,3365440333277,3365440333277,3365440333277,3365440333277,YSL,,,5833,3365440333277,3365440333277,3365440333277,3365440333277,YSL,,,false,false
16238,3365440333284,3365440333284,3365440333284,3365440333284,YSL,,,5834,3365440333284,3365440333284,3365440333284,3365440333284,YSL,,,false,false
16239,3365440333291,3365440333291,3365440333291,3365440333291,YSL,,,5835,3365440333291,3365440333291,3365440333291,3365440333291,YSL,,,false,false
16240,3365440333307,3365440333307,3365440333307,3365440333307,YSL,,,5836,3365440333307,3365440333307,3365440333307,3365440333307,YSL,,,false,false
16241,3365440333314,3365440333314,3365440333314,3365440333314,YSL,,,5837,3365440333314,3365440333314,3365440333314,3365440333314,YSL,,,false,false
16242,3365440333321,3365440333321,3365440333321,3365440333321,YSL,,,5838,3365440333321,3365440333321,3365440333321,3365440333321,YSL,,,false,false
16244,3365440333345,3365440333345,3365440333345,3365440333345,YSL,,,5840,3365440333345,3365440333345,3365440333345,3365440333345,YSL,,,false,false
16245,3365440333352,3365440333352,3365440333352,3365440333352,YSL,,,5841,3365440333352,3365440333352,3365440333352,3365440333352,YSL,,,false,false
16247,3365440333390,3365440333390,3365440333390,3365440333390,YSL,,,5843,3365440333390,3365440333390,3365440333390,3365440333390,YSL,,,false,false
16248,3365440333413,3365440333413,3365440333413,3365440333413,YSL,,,5844,3365440333413,3365440333413,3365440333413,3365440333413,YSL,,,false,false
