recommendation_date,site_id,recommender_name,num_recommender_views,num_product_views,num_clicks,num_cart_adds,num_products_purchased,num_orders,std_attributed_revenue
2020-02-10,302,Search,15,90,0,0,0,0,0.000000
2020-02-10,109,product-to-product-PDP-Full-Predictive,17552,87524,1063,133,19,17,613.470000
2020-02-10,109,products-in-all-categories-Cart-Page,2197,21836,81,22,4,4,80.290000
2020-02-10,112,Cart-Page-All-Categories,1162,5810,30,6,0,0,0.000000
2020-02-10,112,Real-Time-Recommendations-PDP,10084,100833,604,71,20,19,657.190000
2020-02-10,309,Einstein-Cart-Page,134,669,3,3,0,0,0.000000
2020-02-10,121,Checkout-Real-Time,316,1896,21,8,1,1,14.230000
2020-02-10,106,Checkout,629,3075,46,13,1,1,108.130000
2020-02-10,121,Search-All-Categ,8,48,0,0,0,0,0.000000
2020-02-10,302,Checkout,1280,7680,53,18,2,2,38.510000
2020-02-10,302,PDP-Real-Time,4910,14730,247,52,15,13,327.470000
2020-02-08,112,Cart-Page-All-Categories,1051,5255,43,8,2,2,40.750000
2020-02-08,109,product-to-product-PDP-Full-Predictive,26479,131992,1709,319,82,68,2263.630000
2020-02-08,309,Einstein-Cart-Page,65,325,2,1,0,0,0.000000
2020-02-08,109,products-in-all-categories-Cart-Page,5526,54921,245,35,14,13,472.670000
2020-02-08,302,Checkout,1218,7308,53,15,6,6,120.210000
2020-02-08,302,PDP-Real-Time,5793,17377,264,44,15,15,263.780000
2020-02-08,121,PDP-RealTime,1241,3723,63,7,1,1,25.500000
2020-02-08,109,product-to-product-AddToCart,60965,181857,3339,890,247,204,6788.300000
2020-02-08,112,Real-Time-Recommendations-Add-to-Cart-Popup,18238,91193,1437,285,54,48,1725.320000
2020-02-08,106,Search,30,162,0,0,0,0,0.000000
2020-02-08,302,Search,20,120,1,0,0,0,0.000000
2020-02-08,121,Search-All-Categ,1,6,0,0,0,0,0.000000
2020-02-08,106,Checkout,1306,6376,88,25,6,6,138.320000
2020-02-08,121,Checkout-Real-Time,258,1548,19,7,0,0,0.000000
2020-02-08,112,Real-Time-Recommendations-PDP,9973,99759,654,98,22,22,636.430000
