search_date,site_id,registered,device_class_code,locale_code,query,has_results,num_searches,num_visits,num_orders,std_revenue,num_units
2020-09-26,109,true,smartphone,nl_NL,Uv 50,true,1,1,2,212.900000,10
2020-09-26,109,true,smartphone,nl_NL,UV light 50,true,1,1,2,212.900000,10
2020-09-26,109,true,tablet,de_DE,blue herbal collection/,true,1,1,1,104.830000,7
2020-09-26,109,true,tablet,nl_NL,calendula,true,1,1,1,194.370000,6
2020-09-26,109,true,tablet,nl_NL,Poweful strengt,true,2,1,1,194.370000,6
2020-09-26,109,true,unknown,de_AT,baby,true,1,1,1,62.000000,6
2020-09-26,109,true,unknown,de_AT,calendula,true,5,1,1,76.000000,5
2020-09-26,109,true,unknown,de_AT,rare earth,true,1,1,1,44.340000,6
2020-09-26,109,true,unknown,de_AT,tonic,false,1,1,1,76.000000,5
2020-09-26,109,true,unknown,de_CH,C,true,1,1,1,58.460000,4
2020-09-26,109,true,unknown,de_CH,facial fuel,true,1,1,1,99.730000,7
2020-09-26,109,true,unknown,de_CH,Lavender,true,1,1,1,80.470000,2
2020-09-26,109,true,unknown,de_DE,augen,true,1,1,1,135.870000,7
2023-08-15,3801,true,unknown,en_US,lipstick,true,3,1,1,44.070000,2
2020-09-26,109,true,unknown,de_DE,canabis,true,1,1,1,82.750000,9
2023-08-15,3901,true,desktop,de_DE,Bräunungsgel,false,1,1,1,31.930000,2
2020-09-26,109,true,unknown,de_DE,Eye repair,true,1,1,1,178.630000,6
2020-09-26,109,true,unknown,de_DE,For redness,true,1,1,1,77.250000,6
2020-09-26,109,true,unknown,de_DE,gentle hair,true,1,1,1,178.630000,6
2020-09-26,109,true,unknown,de_DE,powerful,true,1,1,1,37.930000,4
2020-09-26,109,true,unknown,de_DE,Ultra Facial Deep Moisture Balm,false,1,1,1,140.700000,5
2020-09-26,109,true,unknown,nl_NL,breakout,true,1,1,1,133.550000,7
2020-09-26,109,true,unknown,nl_NL,calendula,true,1,1,1,90.570000,7
2020-09-26,109,true,unknown,nl_NL,ca冷都啦、,false,1,1,1,90.570000,7
2020-09-26,109,true,unknown,nl_NL,cucumber herbal,true,1,1,1,90.570000,7
2020-09-26,109,true,unknown,nl_NL,make up,true,1,1,1,68.110000,6
2020-09-26,109,true,unknown,nl_NL,mask,true,1,1,1,56.190000,6
2020-09-26,109,true,unknown,nl_NL,rose arctica,true,1,1,1,88.930000,5
2020-09-26,109,true,unknown,nl_NL,scrub,true,2,1,1,243.310000,14
2020-09-26,109,true,unknown,nl_NL,soothe,true,1,1,1,56.190000,6
