coupon_id,ncoupon_id,coupon_type,description,is_enabled,redemption_limit,codes_count
10083,BLACKOPIUM,1,null,true,0,1
10084,MONPARIS,1,null,true,0,1
10085,SPRING17,1,null,true,0,1
10086,ADDICT17,1,null,true,0,1
10087,SPECIALETE,1,null,true,0,1
10088,LIVE1017,1,null,true,0,1
10089,SUMMER17_Discount_20170614,1,null,true,0,1
10090,ALLHOURS15,1,null,true,0,1
10091,LIVE072017,1,null,true,0,1
10092,BIRTHDAY,1,null,true,0,1
10093,FALL17,1,null,true,0,1
10094,MAN17,1,null,true,0,1
10095,TRIO,1,null,true,0,1
10096,FREE,1,null,true,0,1
10097,GIFT,1,null,true,0,1
10098,BLACKFRIDAY,1,null,true,0,1
10099,URBAN10-2,1,null,true,1,1
10100,UD20,1,null,true,0,1
10101,URBAN15,1,15% réduction sur total de la commande,true,0,1
10102,YFQ25,1,null,true,0,1
10103,MYLITTLELOVESURBAN,1,null,true,0,1
10104,LIVRAISON,1,null,true,0,1
10105,URBAN10,1,null,true,0,1
10106,GLOSSY15,1,null,true,0,1
11820020,EDENRED10,1,null,true,0,1
10108,NAKED,1,null,true,0,1
10109,GWP_Halloween_20171024,1,null,true,0,1
10110,TEST,1,null,true,0,1
20055,TEST20OFF,1,null,true,0,1
20056,TESTBONUS,1,null,true,0,1
20057,TESTBUYONE,1,null,true,0,1
20058,TESTFREESHIPPING,1,null,true,0,1
20059,VALDAY,1,null,true,0,1
20060,VALENTIN,1,null,true,0,1
20061,LIVE0417,1,null,true,0,1
20062,Welcome,1,null,true,0,1
20063,SELECT16,1,null,true,0,1
20064,BF2016,1,null,true,0,1
20065,COUTURE,1,COUTURE,true,0,1
20066,MAKEUP,1,null,true,0,1
20067,WOMAN2017,1,null,true,0,1
20068,RE4FS30,1,null,true,0,1
20069,VIP17,1,null,true,0,1
20070,LIPS17,1,null,true,0,1
20071,VBCoupon_Welcome,1,null,true,0,1
20072,BLANCHE,1,null,true,0,1
20073,BLACK,1,null,true,0,1
20074,BEAUTE,1,null,true,0,1
20075,TEINT,1,null,true,0,1
20076,RE42016,1,null,true,0,1
20077,KISS,1,null,true,0,1
20078,XMAS,1,null,true,0,1
20079,VIP18,1,null,true,0,1
20080,VP2017,1,null,true,0,1
20081,ROUGE,1,null,true,0,1
20082,NOEL,1,null,true,0,1
20083,BIRTHDAY16,1,null,true,0,1
20084,LIPSTICK,1,null,true,0,1
20085,LOVEMAKEUP,1,null,true,0,1
20086,COLOR,1,null,true,0,1
20087,BLACKROOM20,1,null,true,0,1
20088,SET2016,1,null,true,0,1
20089,BIRTHDAY17,1,null,true,0,1
20090,LOVEYSL,1,null,true,0,1
20091,BONDEREDUCTION,1,null,true,0,1
20092,Bonus product,1,null,true,0,1
31460310,DE - VEEPEE30,1,null,true,0,1
20094,ICONS,1,null,true,0,1
20095,DIAGHAIR,1,null,true,0,1
20097,FREE20,1,null,true,0,1
20098,FREE50,1,null,true,0,1
20099,GELDOUCHE,1,null,true,0,1
20100,HYDRAGENIUS,1,null,true,0,1
20101,INFAILLIBLEPAINT,1,null,true,0,1
20102,Integ_CumulPromo,1,null,true,0,1
20103,Integ_RefInClosedSet,1,null,true,0,1
20104,Integ_WELCOME15,1,null,true,0,1
20105,JOURNEEFEMME2017,1,null,true,0,1
20106,KDO1,1,null,true,0,1
20093,DIAGCOLO,1,null,true,0,1
10111,ULTIMATE,1,null,true,0,1
10112,BIRTHDAY,1,null,true,0,1
10113,VICE,1,null,true,0,1
10114,VIP10,1,null,true,0,1
10115,30MAT,1,null,true,0,1
10116,ICON,1,null,true,0,1
10117,FLASH,1,null,true,0,1
10118,WAOUH,1,null,true,0,1
10119,TREAT15,1,null,true,0,1
10120,SPRING,1,null,true,0,1
10121,COLORISTA,1,null,true,0,1
10122,HYDRA,1,null,true,0,1
10123,BIENVENUETEST,1,null,true,0,1
10124,AUTUMN,1,null,true,0,1
10125,BARBER,1,null,true,0,1
