business_channel_id,registered,site_id,first_time_buyer,sku_id,product_id,device_class_code,locale_code,std_revenue,num_orders,num_units,std_tax,std_shipping,std_total_discount,submit_date,std_promotional_discount
7,false,112,false,28750,16231,desktop,UNKNOWN_LOCALE,0.000000,7,7.000000,0.000000,7.189692,7.189692,2017-01-01,0.000000
7,false,112,false,28750,16231,smartphone,UNKNOWN_LOCALE,0.000000,5,5.000000,0.000000,6.040280,6.040280,2017-01-01,0.000000
7,false,112,false,28750,16231,tablet,UNKNOWN_LOCALE,0.000000,2,2.000000,0.000000,1.817948,1.817948,2017-01-01,0.000000
7,false,112,false,28760,16237,desktop,UNKNOWN_LOCALE,0.000000,2,2.000000,0.000000,1.137684,1.137684,2017-01-01,0.000000
7,false,112,false,28760,16237,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.598164,0.598164,2017-01-01,0.000000
7,false,112,false,28760,16237,tablet,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.598164,0.598164,2017-01-01,0.000000
7,false,112,false,28820,16295,smartphone,UNKNOWN_LOCALE,45.741930,1,1.000000,7.623655,0.598164,0.598164,2017-01-01,0.000000
7,false,112,false,29171,16639,desktop,UNKNOWN_LOCALE,0.000000,8,8.000000,0.000000,8.151445,8.151445,2017-01-01,0.000000
7,false,112,false,29171,16639,smartphone,UNKNOWN_LOCALE,0.000000,7,7.000000,0.000000,7.858228,7.858228,2017-01-01,0.000000
7,false,112,false,29171,16639,tablet,UNKNOWN_LOCALE,0.000000,3,3.000000,0.000000,2.791430,2.791430,2017-01-01,0.000000
7,false,112,false,29478,16944,desktop,UNKNOWN_LOCALE,46.914800,1,1.000000,7.823043,1.208056,1.208056,2017-01-01,0.000000
7,false,112,false,29478,16944,smartphone,UNKNOWN_LOCALE,46.914800,1,1.000000,7.823043,1.208056,1.208056,2017-01-01,0.000000
7,false,112,false,29509,16972,desktop,UNKNOWN_LOCALE,0.000000,2,2.000000,0.000000,1.149412,1.149412,2017-01-01,0.000000
7,false,112,false,29509,16972,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.609892,0.609892,2017-01-01,0.000000
7,false,112,false,29509,16972,tablet,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.609892,0.609892,2017-01-01,0.000000
7,false,112,false,29630,17086,desktop,UNKNOWN_LOCALE,0.000000,2,2.000000,0.000000,1.137684,1.137684,2017-01-01,0.000000
7,false,112,false,29630,17086,smartphone,UNKNOWN_LOCALE,0.000000,1,1.000000,0.000000,0.598164,0.598164,2017-01-01,0.000000
