submit_date,business_channel_id,site_id,registered,first_time_buyer,source_code_group_id,source_code_status,num_orders,num_units,device_class_code,std_revenue
2020-06-29,7,109,true,true,9801,ACTIVE,1,22.000000,desktop,113.300000
2020-06-29,7,109,false,true,202,ACTIVE,2,21.000000,smartphone,152.150000
2020-06-29,7,109,false,true,9901,ACTIVE,7,81.000000,desktop,274.980000
2020-06-30,7,106,false,true,1,INVALID,4,4.000000,desktop,162.320000
2020-06-29,7,109,true,false,101,ACTIVE,1,16.000000,smartphone,62.660000
2020-06-29,7,109,true,false,9901,ACTIVE,5,65.000000,desktop,223.640000
2020-06-30,7,109,false,false,9901,ACTIVE,3,25.000000,smartphone,93.000000
2020-06-29,7,109,true,true,101,ACTIVE,1,9.000000,smartphone,28.000000
2020-06-29,7,109,true,true,9901,ACTIVE,6,100.000000,desktop,391.660000
2020-06-29,7,116,true,true,1,INVALID,1,3.000000,desktop,13.960000
2020-06-29,7,1102,true,true,1,INVALID,1,4.000000,smartphone,178.000000
2020-06-30,7,106,true,true,1,INVALID,3,3.000000,smartphone,121.740000
2020-06-30,7,109,true,false,202,ACTIVE,1,10.000000,desktop,67.710000
2020-11-27,7,1801,true,true,18301,ACTIVE,6,32.000000,smartphone,269.040000
2020-06-30,7,106,false,false,1,INVALID,1,1.000000,smartphone,40.580000
2020-12-02,7,1103,false,true,1,INVALID,2,2.000000,smartphone,140.440000
2020-06-30,7,109,false,false,9901,ACTIVE,5,71.000000,desktop,281.620000
2020-06-30,7,109,false,true,9901,ACTIVE,8,62.000000,desktop,201.640000
2020-06-30,7,109,true,false,8701,ACTIVE,3,33.000000,desktop,117.660000
2020-06-30,7,109,true,true,9901,ACTIVE,10,109.000000,desktop,463.490000
2020-06-30,7,1102,true,true,1,INVALID,3,11.000000,desktop,556.660000
2020-06-30,7,1102,true,true,1,INVALID,5,24.000000,smartphone,1001.840000
2020-12-02,7,1801,true,false,18201,ACTIVE,2,11.000000,desktop,110.720000
2020-12-04,7,1801,true,false,18201,ACTIVE,3,18.000000,desktop,180.020000
2024-02-18,7,2703,false,false,78601,ACTIVE,1,6.000000,smartphone,60.300000
2020-06-30,7,109,true,false,9901,ACTIVE,1,17.000000,desktop,67.320000
2020-06-30,7,109,true,true,202,ACTIVE,1,13.000000,desktop,76.670000
2020-06-30,7,106,false,true,1,INVALID,4,4.000000,smartphone,162.320000
2020-06-30,7,106,true,false,1,INVALID,3,3.000000,desktop,121.740000
2020-06-30,7,109,false,false,8701,ACTIVE,1,17.000000,smartphone,58.660000
2020-07-01,7,109,true,false,9901,ACTIVE,13,161.000000,smartphone,573.320000
2020-06-30,7,109,true,false,9901,ACTIVE,1,6.000000,tablet,30.000000
2020-06-30,7,116,true,false,1,INVALID,1,3.000000,smartphone,13.960000
2020-06-30,7,109,true,false,101,ACTIVE,1,17.000000,smartphone,79.320000
2020-07-02,7,109,true,true,101,ACTIVE,1,12.000000,smartphone,34.320000
2020-06-30,7,116,true,true,1,INVALID,1,4.000000,desktop,27.910000
2020-06-30,7,106,true,false,1,INVALID,1,1.000000,smartphone,40.580000
2020-06-30,7,106,true,true,1,INVALID,4,5.000000,desktop,163.960000
2020-06-30,7,109,false,true,101,ACTIVE,1,8.000000,desktop,73.330000
2020-06-30,7,109,true,false,101,ACTIVE,1,17.000000,desktop,83.340000
2020-06-30,7,109,true,false,9901,ACTIVE,4,51.000000,smartphone,192.680000
2020-07-01,7,109,false,true,9901,ACTIVE,1,6.000000,tablet,12.660000
2020-06-30,7,109,true,true,8701,ACTIVE,1,7.000000,smartphone,72.500000
2020-07-01,7,109,true,false,202,ACTIVE,2,19.000000,desktop,97.670000
2020-06-30,7,116,false,false,1,INVALID,1,3.000000,smartphone,13.960000
2020-06-30,7,116,true,false,1,INVALID,2,7.000000,desktop,50.210000
2020-06-30,7,109,false,false,101,ACTIVE,1,13.000000,desktop,68.720000
2020-06-30,7,109,false,true,9901,ACTIVE,5,67.000000,smartphone,242.660000
2020-06-30,7,109,true,false,202,ACTIVE,1,16.000000,smartphone,57.340000
2020-06-30,7,109,true,true,101,ACTIVE,5,73.000000,desktop,329.640000
2020-06-30,7,109,true,true,101,ACTIVE,3,32.000000,smartphone,136.230000
2020-06-30,7,109,true,true,8701,ACTIVE,1,17.000000,desktop,66.660000
2020-06-30,7,109,true,true,9901,ACTIVE,9,97.000000,smartphone,514.810000
2020-06-30,7,109,true,true,9901,ACTIVE,1,6.000000,tablet,19.660000
2020-06-30,7,1102,true,false,1,INVALID,3,14.000000,smartphone,527.030000
2020-07-01,7,106,true,true,1,INVALID,1,1.000000,smartphone,40.580000
2020-07-02,7,121,true,false,5901,ACTIVE,1,1.000000,desktop,18.000000
2020-07-01,7,109,true,false,101,ACTIVE,1,12.000000,smartphone,48.660000
2020-07-01,7,1102,false,false,1,INVALID,1,3.000000,smartphone,101.670000
2020-07-01,7,109,false,true,101,ACTIVE,1,8.000000,tablet,45.170000
2020-07-01,7,109,false,true,8701,ACTIVE,1,13.000000,desktop,34.660000
2020-07-02,7,109,true,true,101,ACTIVE,1,8.000000,desktop,107.670000
2020-07-02,7,106,false,true,1,INVALID,1,1.000000,desktop,40.580000
2020-07-01,7,109,true,true,8701,ACTIVE,1,7.000000,desktop,74.580000
2020-07-01,7,1102,true,false,1,INVALID,2,7.000000,desktop,215.500000
2020-07-01,7,1102,true,true,1,INVALID,5,20.000000,desktop,629.190000
2020-07-01,7,109,false,false,9901,ACTIVE,5,59.000000,smartphone,209.040000
2020-07-01,7,109,false,true,101,ACTIVE,1,17.000000,smartphone,68.000000
2020-07-02,7,109,true,false,101,ACTIVE,1,13.000000,smartphone,75.330000
2020-07-01,7,109,true,false,8701,ACTIVE,1,12.000000,desktop,49.000000
2020-07-02,7,109,true,false,202,ACTIVE,1,12.000000,smartphone,217.500000
2020-07-02,7,109,true,true,202,ACTIVE,1,16.000000,desktop,154.430000
2020-11-27,7,109,false,true,101,ACTIVE,1,8.000000,desktop,69.570000
2020-07-01,7,1102,true,false,1,INVALID,1,4.000000,smartphone,144.680000
2020-07-01,7,1102,true,true,1,INVALID,2,8.000000,smartphone,253.360000
2020-07-01,7,106,false,true,1,INVALID,2,2.000000,smartphone,80.410000
2020-07-01,7,106,false,true,1,INVALID,1,1.000000,tablet,44.260000
2020-07-01,7,109,false,false,101,ACTIVE,2,19.000000,smartphone,96.910000
2020-07-01,7,109,false,false,9901,ACTIVE,2,24.000000,desktop,71.320000
2020-07-01,7,109,false,true,9901,ACTIVE,9,96.000000,desktop,343.490000
2020-07-02,7,106,true,false,1,INVALID,1,1.000000,desktop,39.830000
2020-07-02,7,109,false,false,202,ACTIVE,1,3.000000,desktop,56.660000
2020-07-01,7,109,true,true,101,ACTIVE,2,24.000000,desktop,96.680000
2020-07-01,7,109,true,true,8701,ACTIVE,1,12.000000,smartphone,34.320000
2020-11-27,7,109,false,true,202,ACTIVE,1,5.000000,tablet,102.480000
2020-07-01,7,121,true,false,5901,ACTIVE,4,8.000000,smartphone,167.510000
2020-07-01,7,902,true,false,1501,ACTIVE,1,7.000000,desktop,47.000000
2020-07-01,7,106,true,true,1,INVALID,1,1.000000,desktop,40.580000
2020-07-01,7,109,false,true,202,ACTIVE,1,6.000000,desktop,20.890000
2020-07-01,7,109,false,true,9901,ACTIVE,19,213.000000,smartphone,850.280000
2020-07-01,7,109,true,false,8701,ACTIVE,1,16.000000,smartphone,51.320000
2020-07-01,7,109,true,false,9901,ACTIVE,7,103.000000,desktop,331.660000
2020-07-02,7,114,true,true,2401,ACTIVE,2,7.000000,desktop,48.160000
2020-07-01,7,109,true,true,9901,ACTIVE,12,144.000000,desktop,574.000000
2020-07-01,7,109,true,true,9901,ACTIVE,17,222.000000,smartphone,760.600000
2020-07-01,7,121,true,true,5901,ACTIVE,1,10.000000,desktop,140.100000
2020-11-27,7,109,false,true,18001,ACTIVE,1,7.000000,tablet,51.070000
2020-07-02,7,1102,true,true,1,INVALID,1,4.000000,smartphone,108.680000
2020-07-02,7,106,true,false,1,INVALID,1,1.000000,smartphone,40.580000
2020-07-02,7,116,true,true,7101,ACTIVE,1,6.000000,smartphone,37.840000
2020-07-02,7,106,false,false,1,INVALID,2,2.000000,smartphone,58.610000
2020-07-02,7,106,false,true,1,INVALID,1,1.000000,smartphone,39.830000
2020-07-02,7,106,true,true,1,INVALID,1,1.000000,desktop,40.580000
2020-07-02,7,106,true,true,1,INVALID,2,2.000000,smartphone,81.160000
2020-07-02,7,114,false,true,9301,ACTIVE,1,7.000000,smartphone,58.090000
2020-07-02,7,1102,false,false,1,INVALID,1,4.000000,smartphone,178.000000
2020-07-02,7,1102,false,true,1,INVALID,3,11.000000,smartphone,396.670000
2025-04-30,7,3002,true,true,1,INVALID,2,8.000000,smartphone,161.450000
2021-11-21,7,1201,false,true,37201,ACTIVE,1,1.000000,desktop,24.930000
2020-07-02,7,1102,true,true,1,INVALID,4,17.000000,desktop,796.170000
2020-07-02,7,121,true,false,5901,ACTIVE,1,6.000000,smartphone,47.320000
2020-07-03,7,106,true,false,1,INVALID,1,1.000000,smartphone,40.580000
2020-07-03,7,109,false,true,8701,ACTIVE,1,11.000000,smartphone,72.090000
2020-07-03,7,109,false,true,9901,ACTIVE,1,8.000000,smartphone,33.330000
2020-07-03,7,109,true,false,202,ACTIVE,1,14.000000,smartphone,127.500000
2020-07-03,7,109,true,true,202,ACTIVE,1,4.000000,smartphone,40.170000
2020-07-03,7,1102,false,true,1,INVALID,1,4.000000,smartphone,162.000000
2020-07-03,7,106,true,true,1,INVALID,2,2.000000,desktop,81.160000
2020-07-03,7,106,true,true,1,INVALID,1,1.000000,smartphone,40.580000
2020-07-03,7,109,true,true,8701,ACTIVE,1,11.000000,desktop,68.330000
2020-07-03,7,121,true,false,5901,ACTIVE,1,4.000000,smartphone,61.980000
2020-07-03,7,1801,true,false,9001,INACTIVE,1,7.000000,smartphone,53.280000
2020-07-06,7,109,true,false,101,ACTIVE,3,37.000000,desktop,223.960000
2020-07-07,7,109,false,false,202,ACTIVE,1,2.000000,desktop,37.500000
2020-07-03,7,1102,true,true,1,INVALID,1,4.000000,smartphone,213.320000
2020-07-03,7,1102,true,true,1,INVALID,1,3.000000,tablet,172.500000
2020-07-03,7,109,true,false,8701,ACTIVE,2,34.000000,smartphone,342.500000
2020-07-03,7,1102,false,true,1,INVALID,1,4.000000,desktop,65.000000
2020-07-03,7,106,false,true,1,INVALID,1,1.000000,smartphone,40.580000
