request_date,site_id,api_resource,api_name,api_version,status_code,method,num_requests,response_time,num_requests_bucket1,num_requests_bucket2,num_requests_bucket3,num_requests_bucket4,num_requests_bucket5,num_requests_bucket6,num_requests_bucket7,num_requests_bucket8,num_requests_bucket9,num_requests_bucket10,num_requests_bucket11,api_family
2023-12-07 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4088,2178439,2120,1693,253,16,1,3,1,0,1,0,0,
2023-12-12 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,75,725495,0,0,0,0,0,0,0,0,0,0,75,
2023-11-27 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4313,2338664,2133,2015,146,14,1,1,0,0,0,0,3,
2023-12-21 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,2,20013,0,0,0,0,0,0,0,0,0,0,2,
2023-12-02 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4270,2222653,2157,2001,105,7,0,0,0,0,0,0,0,
2023-12-05 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4272,2288426,2125,1996,139,10,0,1,1,0,0,0,0,
2023-12-24 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4325,2277283,2165,1985,160,11,2,1,1,0,0,0,0,
2023-11-28 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4322,2351732,2124,1945,243,8,1,1,0,0,0,0,0,
2023-11-30 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,6,57076,0,0,0,0,0,0,0,0,0,0,6,
2023-12-10 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4308,2240249,2172,2031,101,1,1,1,0,0,0,0,1,
2023-12-14 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,9000,0,0,0,0,0,0,0,0,0,0,1,
2023-12-08 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4329,2337581,2139,2003,157,24,5,0,0,1,0,0,0,
2023-11-29 00:00:00.000,-1,__UNKNOWN__,echo,v1,200,GET,4317,2330460,2164,1969,169,10,1,1,1,1,0,0,1,
2023-12-06 00:00:00.000,-1,__UNKNOWN__,echo,v1,499,GET,1,9008,0,0,0,0,0,0,0,0,0,0,1,
