visit_date,site_id,registered,device_class_code,num_visits,num_converted_visits,visit_duration,locale_code,search_state,num_orders,std_revenue,num_units,num_baskets,num_checkouts
2019-06-29,601,true,Desktop,50,0,3888864,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,305,false,Desktop,814,6,177634772,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,309,false,Desktop,1338,33,335326465,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,115,false,Tablet,74,0,20952732,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,106,false,Smartphone,3910,14,330347358,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,107,false,Tablet,10,0,666438,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,116,true,Desktop,124,28,82442499,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,801,true,Smartphone,56,26,45957754,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1101,true,Desktop,127,0,7430101,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1102,false,Desktop,266,1,112070936,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,306,false,Desktop,57,0,12807841,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,115,true,Tablet,3,0,514871,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,111,true,Smartphone,74,30,65615284,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,801,true,Desktop,104,6,24900942,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1202,false,Smartphone,758,7,67986563,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,113,true,Tablet,5,4,6377300,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,302,true,Tablet,22,3,10892711,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,601,false,Tablet,15,0,1419151,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,112,false,Desktop,1079,35,324635838,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,305,false,Smartphone,1792,15,321590428,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,902,false,Tablet,449,5,115239804,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1302,false,Desktop,76,0,9749351,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,601,false,Smart TV,1,0,17581,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1103,false,Tablet,81,1,21746359,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,501,true,Smartphone,5,4,1677174,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1101,false,Tablet,139,0,13894684,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1202,false,Desktop,55,1,12480207,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,109,false,Tablet,704,13,157670734,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,302,false,Tablet,982,6,132028826,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1101,false,Smartphone,413,0,46235469,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,112,true,Smartphone,133,59,88428904,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,115,true,Smartphone,4,0,2209268,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,102,false,Desktop,178,1,22313991,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,1002,false,Desktop,30,0,2962519,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
2019-06-29,113,false,Game console,1,0,43257,UNKNOWN_LOCALE,NO_SEARCH,0,,,,
